Aeridani Troopers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Tri_National_Dominion	Alfred Unterberger	5	47	73	91	83	35	76	63	6	65	33	45	C+	26	60.21	541	-1	1	368	1579
Sagua	Center #132	1	52	62	63	58	50	88	61	50	44	46	68	C	30	58.36	682	1	1	164	2017
Pentadominion	Noùpexi Dova'mar'éxànè	2	100	90	74	9	52	65	76	55	67	73	62	B	20	61.12	-1	2	1	253	1463
Bongatar	Bongatar Player #9	3	10	19	100	102	100	34	34	20	80	49	64	C+	31	65.12	698	1	1	166	792
Holykol	Maik Siharath	4	50	27	60	89	57	61	69	19	62	28	61	B+	23	61.18	680	3	1	445	1454
Tri_National_Dominion	Alfred Unterberger	5	47	73	91	83	35	76	63	6	65	33	45	C+	26	60.21	541	-1	1	368	1579
Rockshaw Rave	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Wyverncliff	Thomas Byrne	1	99	94	20	27	38	83	48	95	75	53	97	C	24	62.27	-1	3	1	110	1217
Aahrus	Ogino Emperiok	2	97	96	98	34	47	74	40	93	52	77	95	B	26	66.64	-1	0	1	104	608
Bongatar	Bongatar Player #9	3	10	19	100	102	100	34	34	20	80	49	64	C+	31	65.12	698	1	1	166	792
Ethanthova	Bransby Vickers	4	55	48	76	70	64	52	78	31	95	34	79	C	21	69.07	-1	1	1	103	398
Auspikitan	Biplatza Gekxakŋi	5	69	20	44	54	94	74	87	96	41	43	56	D+	29	66.98	277	1	1	135	568
Darvincia	Làto Sokàtà	1	92	89	44	45	53	78	69	49	41	80	50	C+	27	53.91	512	-1	1	475	2928
Auspikitan	Pau Nipta	2	59	48	48	55	45	83	47	63	87	55	60	C+	25	62.97	117	1	1	183	1062
Bielosia	Lani Vatthana	3	66	56	65	44	41	36	79	61	72	28	53	D+	22	56.92	-1	1	1	481	2316
Antarion	iʃśùv Mii	4	39	44	81	86	36	88	71	10	91	25	72	D+	21	69.46	-1	0	1	86	362
Ethanthova	Iggy Conway	5	41	60	64	99	100	37	63	31	59	89	66	D+	20	65.93	-1	1	1	168	683
Darvincia	Làto Sokàtà	1	92	89	44	45	53	78	69	49	41	80	50	C+	27	53.91	512	-1	1	475	2928
Tri_National_Dominion	Jonathan Wagenseil	2	87	63	45	44	53	40	81	91	57	99	74	C+	24	61.55	286	3	1	242	1410
Bielosia	Lani Vatthana	3	66	56	65	44	41	36	79	61	72	28	53	D+	22	56.92	-1	1	1	481	2316
Lyintaria	Wongduan Saengsavang	4	91	42	95	89	39	67	53	47	74	53	65	C	27	68.20	279	3	1	123	462
Ethanthova	Iggy Conway	5	41	60	64	99	100	37	63	31	59	89	66	D+	20	65.93	-1	1	1	168	683
Autolik Rebels	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	Tsekon Unup'a	1	76	66	43	43	35	72	49	99	86	61	98	D	27	66.59	-1	1	1	46	615
Height_Sagua	Nopá Kánpovragá	2	74	71	37	44	37	97	74	81	49	50	102	B	32	65.55	123	-1	10	126	729
Other	Brian Perch	3	42	42	95	67	35	54	65	29	73	31	94	C	22	61.90	-1	3	1	260	1280
Loviniosa	Keoki Vongsay	4	35	31	76	81	82	65	67	30	65	71	72	B	28	67.48	125	-1	6.5	159	530
Sagua	Sagua Player #6	5	40	36	93	86	51	79	36	28	69	50	51	C+	29	61.88	708	3	1	295	1288
Aiyota	Boolway	1	103	65	7	6	31	90	78	104	70	71	67	D+	30	63.39	122	1	1	88	984
Bielosia	Phetdum Somphonpadee	2	70	78	66	76	54	68	40	64	94	12	56	C	36	65.24	600	0	1	130	777
Other	Brian Perch	3	42	42	95	67	35	54	65	29	73	31	94	C	22	61.90	-1	3	1	260	1280
Aeridani	Big G	4	30	5	74	66	57	74	59	35	104	48	53	C+	28	67.66	705	2	1	133	499
Sagua	Sagua Player #6	5	40	36	93	86	51	79	36	28	69	50	51	C+	29	61.88	708	3	1	295	1288
Aeridani	Saiki Shunmyo	1	47	67	54	46	23	36	71	97	44	47	94	B+	27	56.93	57	1	1	228	2312
Bongatar	Ydar Hessar	2	98	84	64	30	47	68	65	97	59	46	70	D+	22	65.71	-1	3	1	116	711
Other	Brian Perch	3	42	42	95	67	35	54	65	29	73	31	94	C	22	61.90	-1	3	1	260	1280
Holy_Yektonisa	Kalei Phomsouvanh	4	94	78	93	79	41	38	42	33	100	55	96	D+	22	66.92	-1	1	1	168	575
Sagua	Sagua Player #6	5	40	36	93	86	51	79	36	28	69	50	51	C+	29	61.88	708	3	1	295	1288
TND Force	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Lyintaria	Lae Bouvanaat	1	84	64	56	20	48	57	56	96	72	50	74	C	22	61.71	-1	0	1	122	1356
Bielosia	Detrio Marzovius	2	98	74	35	40	49	88	75	79	77	49	81	D+	32	68.45	398	-3	1	78	445
Lyintaria	Kelii Khouphongsy	3	73	59	79	44	36	94	87	42	94	99	96	C	23	71.32	-1	3	1	64	257
Dotruga	Ajanis Mesiaertoxek	4	93	91	65	56	47	64	96	32	97	47	89	C+	22	68.07	-1	3	1	127	471
Barsein	A'opi Dova'mar'éxànè	5	46	40	55	88	92	36	88	31	86	33	84	C	23	69.21	-1	2	1	100	391
Sagua	Center #132	1	52	62	63	58	50	88	61	50	44	46	68	C	30	58.36	682	1	1	164	2017
Ethanthova	Wilbert Harries	2	101	62	63	52	34	54	58	97	60	29	84	C	26	63.93	347	2	1	147	904
Tri_National_Dominion	Carsten Meyer	3	21	60	46	87	90	83	51	27	99	10	89	C+	27	70.08	510	-2	1	90	331
Aahrus	Eto Yasuoka	4	99	99	90	50	47	88	52	29	99	34	90	D	22	68.93	-1	1	1	109	411
Tri_National_Dominion	Tri_National_Dominion Player #3	5	49	17	81	83	80	70	67	39	74	47	45	C	31	68.96	359	2	1	106	405
Sagua	Center #132	1	52	62	63	58	50	88	61	50	44	46	68	C	30	58.36	682	1	1	164	2017
Aiyota	Munglegarra	2	33	47	40	43	80	69	71	82	56	88	66	C	29	62.89	571	3	1	187	1088
Shmupland	Sol Yeong-Jin	3	66	66	54	87	48	79	90	44	89	26	80	C	23	70.84	-1	-1	1	76	285
Aahrus	Eto Yasuoka	4	99	99	90	50	47	88	52	29	99	34	90	D	22	68.93	-1	1	1	109	411
Auspikitan	Oiŋi Finapeke	5	49	41	56	84	91	52	76	33	89	72	90	D	24	70.06	-1	-2	1	87	334
Bielosia Ghosts	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Argos Pebek	1	56	76	17	21	38	66	94	60	60	48	103	C	31	57.85	396	1	1	199	2159
Aahrus	Hiroshima Tameyoshi	2	96	93	18	39	78	69	92	88	98	61	74	D+	20	72.74	-1	1	1	37	187
Tri_National_Dominion	Till Klostermann	3	93	70	59	51	58	102	45	97	58	23	49	C	28	64.73	400	-2	5.2	182	836
Blaist_Blaland	Noxku Noxtan	4	100	53	101	102	11	50	61	48	54	61	55	B	26	62.99	349	1	1	317	1040
Czalliso	roe	5	69	72	94	71	97	53	50	51	90	37	93	C+	22	72.57	-1	0	1	56	195
Aeridani	Nagasawa Seiho	1	71	79	23	5	53	43	36	96	89	11	85	B	19	55.47	-1	1	1	360	2617
Czalliso	kaf	2	100	94	96	30	31	63	60	73	56	68	95	C+	22	63.89	-1	1	1	150	908
Aeridani	Yada Shusui	3	49	32	91	49	36	94	52	49	67	46	96	C	22	64.44	-1	2	1	189	865
Blaist_Blaland	Noxku Noxtan	4	100	53	101	102	11	50	61	48	54	61	55	B	26	62.99	349	1	1	317	1040
Dotruga	Sagolna Eloalerko	5	58	58	81	60	97	44	49	48	91	35	91	D	22	67.54	-1	1	1	122	525
Aeridani	Nagasawa Seiho	1	71	79	23	5	53	43	36	96	89	11	85	B	19	55.47	-1	1	1	360	2617
Pentadominion	Noùpexi Dova'mar'éxànè	2	100	90	74	9	52	65	76	55	67	73	62	B	20	61.12	-1	2	1	253	1463
Ethanthova	Eric Gilroy	3	60	65	68	81	78	80	56	3	71	58	55	B	27	61.82	735	-1	1	270	1306
Blaist_Blaland	Noxku Noxtan	4	100	53	101	102	11	50	61	48	54	61	55	B	26	62.99	349	1	1	317	1040
Aiyota	Winnlip	5	40	51	88	43	97	42	51	25	86	48	100	C	20	64.52	-1	3	1	213	848
Hinaika Hurricanes	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Saiki Shunmyo	1	47	67	54	46	23	36	71	97	44	47	94	B+	27	56.93	57	1	1	228	2312
Shmupland	Chu Sung-Soo	2	96	96	95	36	27	74	51	83	66	16	97	B	22	67.70	-1	3	1	87	497
Oesa	K'ita Senako	3	104	77	87	94	54	84	38	65	72	50	74	C+	26	69.95	220	1	12.2	96	343
Czalliso	ilo	4	85	83	84	67	40	52	79	23	92	47	80	C+	22	66.36	-1	2	1	182	636
Aiyota	Namia Akaleta	5	27	28	87	85	52	78	63	19	72	54	81	C+	26	66.11	601	2	1	151	665
Auspikitan	Teva Gekxakŋi	1	45	91	48	27	39	36	87	89	68	55	65	C	27	60.13	226	-3	1.7	141	1632
Aiyota	Pranga  	2	97	64	28	29	49	75	68	98	58	52	84	B	26	63.69	1243	1	1	153	936
Sagua	Bá Nonhkwaqan	3	65	87	76	47	60	50	88	46	73	7	95	C+	19	65.05	-1	2	1	175	810
Blaist_Blaland	Nupa Auprat	4	37	37	77	84	55	53	66	43	69	54	84	C+	26	65.65	221	3	1	201	723
Aiyota	Namia Akaleta	5	27	28	87	85	52	78	63	19	72	54	81	C+	26	66.11	601	2	1	151	665
Lyintaria	Keahi Vongsay	1	97	85	47	7	30	48	37	95	82	9	100	C+	22	57.41	-1	1	1	205	2228
Auspikitan	Iveo Vokigei	2	95	93	29	30	35	62	76	85	81	80	81	C+	24	63.89	218	3	1	150	908
Dotruga	Olandi Amodetsei 	3	45	24	82	14	81	67	70	77	80	100	48	C	21	65.85	1192	3	1	159	697
Aahrus	Eto Yasuoka	4	99	99	90	50	47	88	52	29	99	34	90	D	22	68.93	-1	1	1	109	411
Aiyota	Namia Akaleta	5	27	28	87	85	52	78	63	19	72	54	81	C+	26	66.11	601	2	1	151	665
Daxanad Soldiers	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dtersauuw_Sagua	P'uyo Lek'at	1	73	59	49	12	11	75	70	95	68	33	92	C	26	62.78	-1	1	1	93	1119
Dotruga	Dasarbi Hadosadolsei	2	71	84	70	42	47	73	77	93	56	88	69	C	23	68.42	-1	-2	1	80	448
Blaist_Blaland	Small Forward #143	3	48	29	70	67	70	67	73	47	92	45	81	B	32	69.99	188	-2	2.1	95	337
Barsein	Diji Makmero	4	69	27	64	59	69	93	83	44	57	52	58	C+	30	65.16	301	1	1	228	790
Aahrus	Rezinal Taki	5	57	38	82	84	91	76	79	23	60	76	68	C	20	72.43	-1	1	1	60	201
Bongatar	Bongatar Player #2	1	91	82	34	28	19	76	103	60	46	50	57	D+	28	57.16	272	1	1	208	2263
Aeridani	Kasai Tamuramaro	2	95	92	65	17	38	48	60	96	47	77	67	D+	23	57.97	-1	0	1	464	2128
Bielosia	Maik Phothisarath	3	66	36	32	39	55	100	85	59	89	81	83	C	24	67.32	184	3	1	126	540
Bongatar	Shitt Hessar	4	63	41	77	38	89	64	69	22	95	38	63	C	24	66.17	-1	-1	1	195	660
Czalliso	app	5	35	39	90	58	96	45	65	43	96	41	77	C+	21	69.95	-1	1	1	91	341
Bielosia	Center #162	1	41	49	58	60	22	87	62	27	41	48	57	A	22	51.17	990	1	1	678	3339
Aeridani	Kasai Tamuramaro	2	95	92	65	17	38	48	60	96	47	77	67	D+	23	57.97	-1	0	1	464	2128
Nausicaa	Mhokba Djamhámhoñha	3	59	75	58	71	32	73	58	51	84	27	67	C+	22	62.05	195	1	1	252	1264
Aeridani	Hvanne Aeridaniok	4	72	60	91	81	60	60	69	21	56	19	62	C+	31	64.51	94	2	1	242	851
Blaist_Blaland	Lizaxon Rova	5	31	28	94	93	61	82	59	17	70	49	53	C	29	67.74	192	2	1	120	485
Kutapi Redwoods	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Lilo Vatthana	1	90	98	28	19	54	57	92	98	52	55	86	C	26	62.16	167	3	1	114	1235
Wyverncliff	Johan Lolant	2	99	78	70	24	69	94	43	95	94	95	94	C+	22	75.37	-1	2	1	11	113
Aiyota	Guooka	3	9	41	96	71	74	58	73	45	63	11	104	C	24	68.95	948	0	1	102	408
Aeridani	Lyintaria Player #6	4	19	7	102	98	47	52	79	21	80	51	67	C+	35	71.08	781	-4	1	62	275
Solea	zeppak itehíl tikítákh	5	23	84	72	67	97	68	75	41	67	46	95	C	32	71.93	115	-2	9.5	70	225
Lyintaria	Lae Bouvanaat	1	84	64	56	20	48	57	56	96	72	50	74	C	22	61.71	-1	0	1	122	1356
Sagua	Bá Sŕa	2	69	93	52	21	40	61	77	95	75	87	95	C	21	67.78	-1	1	1	86	483
Blaist_Blaland	Ixbla Naxki	3	92	67	59	42	40	86	53	99	79	46	96	C+	24	67.22	-1	3	1	130	554
Bongatar	Luffy Iode	4	100	97	92	49	50	97	44	24	93	90	85	B	20	67.92	-1	2	1	129	476
Blaist_Blaland	Ixux Naixi	5	38	48	75	77	103	50	49	46	72	48	50	B	28	66.22	459	1	1	147	641
Aahrus	Sugimoto Kyoshi	1	95	100	30	28	21	57	92	91	66	30	74	C	21	61.64	-1	2	1	124	1405
Darvincia	Nàsà Cows	2	57	54	34	67	32	46	85	100	74	54	100	C	23	67.40	-1	3	1	90	535
Solea	pazek lutep kaghišek	3	17	52	96	99	36	92	33	38	84	46	48	C+	28	67.04	825	2	1	133	560
Antarion	Pepi Rrèśʃiin	4	64	73	95	90	29	88	57	38	60	51	83	B	20	67.78	-1	1	1	130	484
Blaist_Blaland	Lizaxon Rova	5	31	28	94	93	61	82	59	17	70	49	53	C	29	67.74	192	2	1	120	485
Lyintaria Kool Kats	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alubembi Xahelvi	1	103	102	28	29	9	68	102	85	65	26	66	C+	29	62.46	447	1	1	106	1174
Barsein	E'àǵay Nnoncàśénreskèc	2	56	49	43	32	80	73	49	71	73	38	99	C	28	62.88	945	-2	1	206	1107
Key_to_Don	Swanano Nonhkwaqan	3	51	21	78	79	57	59	61	52	83	50	76	C+	31	67.00	796	-5	1	136	565
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Auspikitan	Kudqoatlop Poi	5	40	41	86	73	97	97	29	49	98	79	69	B	21	74.10	-1	1	1	37	143
Kaeshar	Eŋipxuk Vokigei	1	72	60	41	18	18	74	90	93	51	27	53	D+	21	60.26	-1	1	1	133	1554
Barsein	E'àǵay Nnoncàśénreskèc	2	56	49	43	32	80	73	49	71	73	38	99	C	28	62.88	945	-2	1	206	1107
Key_to_Don	Swanano Nonhkwaqan	3	51	21	78	79	57	59	61	52	83	50	76	C+	31	67.00	796	-5	1	136	565
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Auspikitan	Kudqoatlop Poi	5	40	41	86	73	97	97	29	49	98	79	69	B	21	74.10	-1	1	1	37	143
Pyxanovia	Pyxanovia Player #1	1	99	65	36	43	9	56	78	81	52	45	55	B+	31	55.23	451	1	1	371	2659
Barsein	E'àǵay Nnoncàśénreskèc	2	56	49	43	32	80	73	49	71	73	38	99	C	28	62.88	945	-2	1	206	1107
Bielosia	Wongduan Keobunta	3	95	93	56	36	49	95	57	83	84	47	71	C+	19	66.65	-1	3	1	143	604
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Lyintaria	Lyintaria Player #3	5	66	9	77	77	99	67	80	14	30	49	49	C	31	66.14	446	3	1	149	662
Aovensiiv Atoms	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Lilo Vatthana	1	90	98	28	19	54	57	92	98	52	55	86	C	26	62.16	167	3	1	114	1235
Blaist_Blaland	Uxnax Prokexov	2	78	47	37	37	48	53	70	84	95	53	97	B	29	66.81	181	-3	1	100	585
Antarion	Śa'guskeq Càl	3	59	65	59	34	53	53	64	43	99	46	67	C+	23	60.17	-1	0	1	320	1590
Futiakep	Oevu Pitwa	4	69	67	46	95	63	69	59	29	50	33	80	C+	23	60.52	-1	0	1	457	1530
Pyxanovia	Aulii Sayasone	5	42	39	44	99	100	89	32	45	92	88	54	C	23	69.99	-1	2	1	88	337
Aeridani	Dwab Itsok	1	38	93	19	17	19	95	82	101	56	45	48	D	31	62.01	810	0	1	118	1277
Dotruga	Osiei Bituna	2	65	75	10	12	18	91	89	77	72	51	47	B	30	60.63	178	2	1	268	1507
Antarion	Śa'guskeq Càl	3	59	65	59	34	53	53	64	43	99	46	67	C+	23	60.17	-1	0	1	320	1590
Aeridani	Tanifuji Shirosama	4	91	28	71	69	11	45	66	54	75	56	103	C+	28	59.71	179	1	1	497	1672
Blaist_Blaland	Ikkrosovi Kuya	5	38	35	93	71	90	75	37	21	77	90	93	C+	20	68.67	-1	3	1	110	438
Aahrus	Aahrus Player #2	1	82	78	18	21	27	104	48	89	41	50	69	B	29	55.32	7	1	1	363	2646
Blaist_Blaland	Uxnax Sovix 	2	29	18	9	30	65	61	35	82	98	98	103	C+	25	59.63	1228	-2	1	291	1682
Antarion	Śa'guskeq Càl	3	59	65	59	34	53	53	64	43	99	46	67	C+	23	60.17	-1	0	1	320	1590
Bielosia	Keoki Keobounphanh	4	77	66	99	50	37	48	54	25	85	48	52	C	19	59.63	-1	1	1	499	1684
Nausicaa	Błá Váva	5	41	37	73	82	66	48	81	15	86	16	56	B	28	64.51	826	-1	1	214	849
Suggionic Infantry	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Komatsu Toyozo	1	95	99	65	13	38	96	91	93	44	98	94	C	23	68.91	-1	2	1	24	423
Dotruga	Alukeili Olalomundi	2	65	53	67	20	37	54	95	91	90	46	75	C	22	71.51	-1	0	1	42	237
Other	Jesse Svensson	3	73	93	100	49	77	93	56	52	63	95	92	C+	26	70.63	-1	2	1	78	296
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Nausicaa	Błá Váva	5	41	37	73	82	66	48	81	15	86	16	56	B	28	64.51	826	-1	1	214	849
Dtersauuw_Sagua	P'uyo Lek'at	1	73	59	49	12	11	75	70	95	68	33	92	C	26	62.78	-1	1	1	93	1119
Aahrus	Ogino Emperiok	2	97	96	98	34	47	74	40	93	52	77	95	B	26	66.64	-1	0	1	104	608
Other	Jesse Svensson	3	73	93	100	49	77	93	56	52	63	95	92	C+	26	70.63	-1	2	1	78	296
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Solea	pekleɰ tiwan	5	58	5	73	69	84	35	69	28	68	52	101	C+	29	63.76	342	1	1	226	929
Blaist_Blaland	Blanaxon Player #1	1	88	79	31	30	43	92	41	78	47	53	98	B	30	56.64	152	1	1	243	2383
Ethanthova	Dylan Fowler	2	44	102	50	53	45	64	103	79	56	50	45	C+	28	65.83	377	3	1	112	703
Solea	pazek lutep kaghišek	3	17	52	96	99	36	92	33	38	84	46	48	C+	28	67.04	825	2	1	133	560
Tri_National_Dominion	Asser Stengel	4	49	33	68	102	58	73	81	33	72	8	48	B	23	69.39	886	2	1	87	364
Solea	pekleɰ tiwan	5	58	5	73	69	84	35	69	28	68	52	101	C+	29	63.76	342	1	1	226	929
Yuofuan Jaguars	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Tri_National_Dominion	Asser Hutto 	1	97	15	39	46	55	68	66	72	75	45	65	C	27	62.08	1254	-2	1	116	1263
Auspikitan	Itausŋaŋufi Utipŋiqe	2	80	37	61	55	20	66	72	75	74	48	46	C+	30	63.38	841	1	1	170	986
Aeridani	Kai Shoraku	3	87	98	58	30	53	84	71	90	100	28	75	C	23	70.98	-1	3	1	71	278
Height_Sagua	Poqá Słanák	4	61	59	68	70	49	80	57	48	90	74	85	C+	21	67.71	-1	2	1	132	496
Czalliso	kaf	5	39	32	63	93	97	69	56	34	74	38	70	D	24	69.92	-1	2	1	94	345
Other	Matthew Tooli	1	95	77	52	29	31	48	55	95	85	97	87	D	24	62.32	-1	0	1	109	1214
Aiyota	Munglegarra	2	33	47	40	43	80	69	71	82	56	88	66	C	29	62.89	571	3	1	187	1088
Antarion	Venkàgttonhasttà Nùŕèodàkpiis	3	91	81	98	24	79	99	70	37	62	62	76	D	23	67.71	-1	1	1	119	488
Aahrus	Eto Yasuoka	4	99	99	90	50	47	88	52	29	99	34	90	D	22	68.93	-1	1	1	109	411
Key_to_Don	Błá Kánpovŕagá	5	74	9	60	33	96	75	53	69	47	100	73	B	26	61.75	327	1	1	309	1336
Barsein	Alve Sanraku	1	39	61	43	5	15	68	88	88	36	50	61	B	20	54.86	947	1	1	388	2742
Aiyota	Munglegarra	2	33	47	40	43	80	69	71	82	56	88	66	C	29	62.89	571	3	1	187	1088
Antarion	Venkàgttonhasttà Nùŕèodàkpiis	3	91	81	98	24	79	99	70	37	62	62	76	D	23	67.71	-1	1	1	119	488
Aahrus	Eto Yasuoka	4	99	99	90	50	47	88	52	29	99	34	90	D	22	68.93	-1	1	1	109	411
Transhimalia	Sreotruyphoe the Expunger	5	57	40	69	71	73	73	57	25	35	53	95	B	31	61.20	476	2	1	338	1434
Shmupland Tyrants	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alubembi Xahelvi	1	103	102	28	29	9	68	102	85	65	26	66	C+	29	62.46	447	1	1	106	1174
Dotruga	Alukeili Olalomundi	2	65	53	67	20	37	54	95	91	90	46	75	C	22	71.51	-1	0	1	42	237
Bongatar	Small Forward #115	3	51	97	50	54	16	70	65	62	79	51	78	C	29	59.11	363	1	1	357	1805
Antarion	Sipip Dova'mar'éxànè	4	69	56	83	45	35	96	91	29	78	31	95	C	23	67.46	-1	1	1	160	533
Blaist_Blaland	Ikkrosovi Kuya	5	38	35	93	71	90	75	37	21	77	90	93	C+	20	68.67	-1	3	1	110	438
Aiyota	Mornay	1	72	96	32	14	30	67	53	98	80	90	94	D	23	61.49	-1	3	1	126	1416
Aahrus	Ogino Emperiok	2	97	96	98	34	47	74	40	93	52	77	95	B	26	66.64	-1	0	1	104	608
Loviniosa	Malo Sayasone	3	53	36	84	75	87	63	39	50	30	54	58	C+	25	57.68	238	1	1	436	2181
Transhimalia	Nomura Miyoko	4	49	50	99	62	50	39	81	21	84	92	90	C	21	66.46	-1	2	1	180	624
Aiyota	Namia Akaleta	5	27	28	87	85	52	78	63	19	72	54	81	C+	26	66.11	601	2	1	151	665
Antarion	Màce Nùx́iś	1	82	97	52	25	16	59	49	84	71	68	99	D+	23	58.29	-1	1	1	182	2048
Kaeshar	Vioŋeki Mopke	2	72	90	35	51	52	40	86	82	68	97	82	C+	22	62.46	-1	1	1	218	1176
Loviniosa	Malo Sayasone	3	53	36	84	75	87	63	39	50	30	54	58	C+	25	57.68	238	1	1	436	2181
Dotruga	Dugaro Gagodosa	4	39	27	65	58	62	65	65	31	95	98	70	C	25	64.53	375	2	1	240	846
Aiyota	Namia Akaleta	5	27	28	87	85	52	78	63	19	72	54	81	C+	26	66.11	601	2	1	151	665
Ebetxi Detro	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Wyverncliff	Juri Vuchko	1	99	98	33	25	47	39	99	98	80	73	51	C+	20	64.05	-1	1	1	77	896
Solea	eneŋ zekek zeilunaven	2	60	45	48	51	33	98	55	96	44	52	89	B	32	64.97	332	-2	1.4	135	815
Lyintaria	Kelii Khouphongsy	3	73	59	79	44	36	94	87	42	94	99	96	C	23	71.32	-1	3	1	64	257
Dotruga	Gorga Ektxr	4	27	83	98	84	68	75	68	13	56	74	87	B+	28	69.59	334	-3	5.4	84	356
Wyverncliff	Xavier Wilcox	5	58	10	60	72	79	89	58	91	56	41	60	C+	26	68.40	58	1	1	113	449
Dtersauuw_Sagua	P'uyo Lek'at	1	73	59	49	12	11	75	70	95	68	33	92	C	26	62.78	-1	1	1	93	1119
Bielosia	Phetdum Phanivong	2	61	44	46	62	79	87	51	78	69	38	54	C	34	65.70	930	1	1	120	715
Lyintaria	Kelii Khouphongsy	3	73	59	79	44	36	94	87	42	94	99	96	C	23	71.32	-1	3	1	64	257
Aeridani	Itso Bigo	4	57	7	87	94	70	9	70	35	102	48	51	C	29	69.24	495	2	1	96	384
Tri_National_Dominion	Tri_National_Dominion Player #3	5	49	17	81	83	80	70	67	39	74	47	45	C	31	68.96	359	2	1	106	405
Dtersauuw_Sagua	P'uyo Lek'at	1	73	59	49	12	11	75	70	95	68	33	92	C	26	62.78	-1	1	1	93	1119
Bielosia	Phetdum Phanivong	2	61	44	46	62	79	87	51	78	69	38	54	C	34	65.70	930	1	1	120	715
Aeridani	Kawata Hirokazu	3	76	86	66	80	41	60	90	65	66	71	97	C+	25	67.83	6	2	1	115	479
Aeridani	Itso Bigo	4	57	7	87	94	70	9	70	35	102	48	51	C	29	69.24	495	2	1	96	384
Bongatar	Pusu Iode	5	60	48	91	75	98	59	42	19	55	71	98	C+	21	66.68	-1	2	1	139	603
Errakyva Eruption	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Abosa Aludetsei 	1	37	32	5	10	15	82	94	100	40	56	65	B	24	56.56	1201	1	1	250	2392
Wyverncliff	Quinten Grabochov	2	85	62	58	15	45	39	46	96	84	41	49	B+	23	59.29	143	1	1	340	1757
