University of Pxalit'k'a players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Ǵamà Dova'mar'éxànè,64,2238,43,0,0,0,0,0,0,0,0,4,1,781,207,574,4,25,4,16, 12.9375
Ǵamà Vàydep,40,1277,145,457,480,222,46.25,0,0,34,13,41,15,245,64,181,84,609,285,46.7980295566502, 7.475
iʃśùv Qùcca',51,1511,295,849,778,394,50.6426735218509,0,0,64,61,48,49,182,41,141,110,617,267,43.2739059967585, 5.90196078431373
Éxànnecig Nhòà,36,1277,205,754,642,321,50,212,49,6,5,31,18,189,46,143,45,564,273,48.4042553191489, 7.41666666666667
Śùy Mii,34,1068,382,590,494,239,48.3805668016194,172,32,8,5,28,11,132,33,99,15,467,239,51.1777301927195, 4.67647058823529
Ku Muqu,32,840,0,0,0,0,0,0,0,0,0,0,0,213,61,152,0,2,0,0, 18.53125
Pò'a Nnoncàśénreskèc,23,264,39,101,115,48,41.7391304347826,0,0,6,5,14,13,49,11,38,35,102,48,47.0588235294118, 6.56521739130435
Pò'a Luʃpùwàrpèćii,14,72,9,33,33,16,48.4848484848485,0,0,2,1,0,2,11,2,9,4,36,18,50, 3
Guvggillmào Neśom,8,104,16,71,62,29,46.7741935483871,15,2,0,0,2,0,15,2,13,9,58,31,53.448275862069, 1.375
Mùnne Ńàhem,11,185,39,128,106,53,50,42,15,0,0,7,4,21,4,17,5,84,36,42.8571428571429, 7.45454545454545
A'opi Ńàhem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Guvggillmào Muqu,91,2956,596,1413,1344,691,51.4136904761905,0,0,58,31,76,48,498,133,365,215,1411,697,49.3975903614458, 13.3406593406593
Pàʃdo Ńàhem,15,280,59,165,140,81,57.8571428571429,0,0,4,3,5,5,36,7,29,33,134,63,47.0149253731343, 6.06666666666667
Gèpeènè'nè Kupucdak,10,188,48,146,100,73,73,0,0,0,0,8,4,27,6,21,14,116,54,46.551724137931, 5.5
Nàgiiś Peśqu,15,375,156,167,148,72,48.6486486486487,32,12,2,0,11,11,49,15,34,13,140,57,40.7142857142857, 9.86666666666667
University of Antarion 2 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Guvggillmào Peśqu,97,4632,0,0,0,0,0,0,0,0,0,2,0,1016,249,767,2,8,6,75, -1.61855670103093
Viiŕce Pènnaggà,64,2200,407,882,915,422,46.120218579235,0,0,68,38,74,39,624,178,446,140,982,484,49.2871690427699, -0.28125
Denni Hàŕselàn,68,2573,694,793,716,392,54.7486033519553,0,0,22,9,97,39,301,75,226,149,1230,624,50.7317073170732, 0.632352941176471
A'opi Ggàdéʃ,65,2616,184,1714,1476,711,48.1707317073171,519,164,3,3,95,32,354,86,268,81,1438,686,47.7051460361613, 0.292307692307692
Guvggillmào Qùcca',34,1445,245,890,741,445,60.0539811066127,0,0,0,0,52,29,216,56,160,41,600,272,45.3333333333333, -3.61764705882353
Payhèmàw Luʃpùwàrpèćii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Noùpexi Peśqu,65,1491,76,752,719,324,45.0625869262865,189,34,5,1,82,15,409,103,306,110,611,293,47.9541734860884, -3.75384615384615
Cepèg Nùŕèodàkpiis,17,218,49,113,105,54,51.4285714285714,13,4,0,0,4,4,29,6,23,23,134,69,51.4925373134328, -0.294117647058824
Viiŕce Nùŕèodàkpiis,5,79,12,74,47,31,65.9574468085106,13,6,0,0,4,1,5,0,5,3,46,18,39.1304347826087, 3
Guvggillmào Nùŕèodàkpiis,39,1612,739,936,769,422,54.8764629388817,143,52,2,0,59,20,295,64,231,45,564,266,47.1631205673759, 5.76923076923077
A'opi Yor'cél,57,2016,0,0,0,0,0,0,0,0,0,2,0,586,144,442,5,18,11,61.1111111111111, -6.6140350877193
Śùy Càl,78,1809,416,1167,1140,576,50.5263157894737,0,0,28,15,71,30,365,90,275,117,841,421,50.0594530321046, -3.96153846153846
Venkàgttonhasttà Nùŕèodàkpiis,12,243,60,153,115,62,53.9130434782609,42,22,4,4,5,7,31,12,19,28,87,30,34.4827586206897, 2.5
Cepèg Vàydep,3,38,10,10,7,4,57.1428571428571,0,0,2,2,1,1,7,5,2,4,18,7,38.8888888888889, -3.33333333333333
Màce Rrèśʃiin,4,54,11,34,29,17,58.6206896551724,0,0,0,0,1,1,8,1,7,3,26,6,23.0769230769231, 3.5
University of Antarion 3 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Venkàgttonhasttà Nnoncàśénreskèc,97,4163,16,32,35,16,45.7142857142857,0,0,0,0,8,2,1207,308,899,2,60,31,51.6666666666667, 4.91752577319588
A'opi ʃiw,114,2949,260,1331,1146,527,45.9860383944154,497,132,12,5,105,37,593,122,471,104,1452,754,51.9283746556474, 2.3859649122807
Gàp Mii,36,1403,545,772,727,386,53.0949105914718,0,0,0,0,36,14,197,37,160,88,485,207,42.680412371134, 4.16666666666667
Gèpeènè'nè Mii,32,1504,122,818,806,386,47.8908188585608,0,0,50,46,46,17,169,45,124,31,744,385,51.747311827957, 5.4375
Éxànnecig Mii,107,4569,817,1256,1300,605,46.5384615384615,0,0,78,46,137,48,565,131,434,82,2136,1081,50.6086142322097, 4.66355140186916
Gèpeènè'nè Hàŕselàn,17,331,0,2,2,1,50,0,0,0,0,0,0,77,17,60,0,2,1,50, 4
Śonpennneŕgomà Nnoncàśénreskèc,39,737,134,257,277,124,44.7653429602888,21,4,0,0,26,11,129,29,100,46,308,156,50.6493506493506, 0.512820512820513
Cepèg Rrèśʃiin,61,1708,154,1127,970,561,57.8350515463918,0,0,6,5,42,30,209,44,165,125,767,330,43.0247718383312, 3.60655737704918
Noùpexi Hàŕselàn,1,20,0,2,3,1,33.3333333333333,0,0,0,0,0,0,1,0,1,1,7,4,57.1428571428571, -11
Ku Muqu,6,140,28,92,71,39,54.9295774647887,25,9,0,0,2,1,18,2,16,5,66,28,42.4242424242424, 8.16666666666667
Éxànnecig Dova'mar'éxànè,48,1788,0,0,0,0,0,0,0,0,0,0,2,395,98,297,3,13,4,30.7692307692308, 13.8333333333333
Śa'guskeq Ttéśve,37,605,124,285,262,142,54.1984732824427,0,0,2,1,17,215,173,48,125,50,138,44,31.8840579710145, 11.3783783783784
Śa'guskeq Kupucdak,3,34,11,17,15,7,46.6666666666667,6,3,0,0,3,2,5,1,4,2,15,6,40, 6.33333333333333
Xémni Ciiśǵià,1,22,2,10,9,5,55.5555555555556,0,0,0,0,1,0,3,0,3,0,11,5,45.4545454545455, 10
Pàʃdo Pègsheènnàyccoŕiiś,1,9,2,8,5,3,60,4,2,0,0,0,2,3,1,2,3,7,4,57.1428571428571, 7
University of Nja players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Gèpeènè'nè Qàmiiqè,65,3080,1,0,1,0,0,1,0,0,0,1,1,880,167,713,3,15,9,60, -14.8
iʃśùv Nnoncàśénreskèc,37,1316,85,630,555,241,43.4234234234234,247,65,14,8,123,14,312,60,252,76,475,226,47.5789473684211, -11.2702702702703
Viiŕce Qe,36,1566,76,321,495,132,26.6666666666667,0,0,114,57,113,19,179,43,136,35,742,375,50.5390835579515, -17.2777777777778
Éxànnecig Ǵèècòvèŕka,32,1321,60,619,581,236,40.6196213425129,255,47,19,11,102,23,161,31,130,35,590,316,53.5593220338983, -16
Pò'a Qàmiiqè,93,3172,420,1058,1004,424,42.2310756972112,353,98,33,15,172,48,361,87,274,49,1322,691,52.2692889561271, -8.48387096774194
Pepi Qe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Hòŕcò Yor'cél,100,3577,285,1304,1518,623,41.0408432147563,0,0,148,58,172,36,834,176,658,168,1447,711,49.1361437456807, -7.29
Gèpeènè'nè Oŕeńà,36,1440,118,351,362,174,48.0662983425414,0,0,14,3,72,15,183,45,138,48,769,432,56.1768530559168, -9.36111111111111
Noùpexi Yor'cél,38,1454,103,1103,1006,427,42.4453280318091,375,111,61,41,123,22,222,47,175,53,709,360,50.7757404795487, -10.2368421052632
Nàgiiś Peśqu,17,443,76,222,213,79,37.0892018779343,104,24,19,9,35,4,67,11,56,13,157,83,52.8662420382166, -9.70588235294118
E'àǵay Ciiśǵià,64,269,1,2,2,1,50,0,0,0,0,0,0,77,27,50,1,1,1,100, -0.515625
Ku Yor'cél,17,175,10,66,82,30,36.5853658536585,0,0,14,6,12,6,43,9,34,17,54,21,38.8888888888889, -0.764705882352941
Denni Ttàdùycce,9,155,35,23,35,10,28.5714285714286,0,0,8,3,10,3,25,6,19,19,89,36,40.4494382022472, -1.88888888888889
Śa'guskeq Oŕeńà,46,1733,442,948,873,472,54.0664375715922,0,0,10,4,47,15,204,49,155,50,745,410,55.0335570469799, -4.06521739130435
Viiŕce Peśqu,8,165,23,56,59,28,47.4576271186441,0,0,0,0,5,0,18,6,12,2,56,28,50, -10.625
University of Pentadominion 1 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
A'opi Yor'cél,98,4543,13,46,51,20,39.2156862745098,0,0,8,6,14,2,1327,310,1017,10,60,37,61.6666666666667, -24.5204081632653
A'opi Oŕeńà,52,1369,138,350,364,172,47.2527472527472,0,0,20,6,103,22,384,81,303,62,573,291,50.7853403141361, -12.6923076923077
Viiŕce Qàmiiqè,98,4258,169,1397,1554,665,42.7927927927928,0,0,134,67,418,57,542,125,417,129,2014,1084,53.8232373386296, -23.1530612244898
Gèpeènè'nè Ńàhem,45,1706,100,731,697,364,52.2238163558106,0,0,4,3,118,19,208,48,160,36,873,473,54.1809851088202, -11.3777777777778
Śa'guskeq Qùcca',64,1968,84,459,521,218,41.8426103646833,0,0,44,23,196,28,262,43,219,56,703,348,49.50213371266, -23.703125
E'àǵay Ttàdùycce,40,1574,1,4,5,2,40,0,0,0,0,1,0,316,61,255,5,26,13,50, -9.05
Śùy Pènnaggà,93,3224,291,1119,1394,517,37.0875179340029,0,0,244,85,278,43,715,166,549,161,1435,752,52.404181184669, -19.0967741935484
Noùpexi Dova'mar'éxànè,1,13,2,8,6,3,50,0,0,0,0,3,0,0,0,0,0,8,3,37.5, -1
Venkàgttonhasttà Ńàhem,68,2580,196,903,1034,379,36.6537717601547,144,48,151,69,225,31,333,84,249,48,1332,756,56.7567567567568, -26.3970588235294
Pò'a Nnò'ʃiv,20,368,59,299,262,120,45.8015267175573,113,27,3,2,19,8,45,6,39,4,148,78,52.7027027027027, -3.6
Nàgiiś Mii,12,162,0,0,0,0,0,0,0,0,0,0,0,33,9,24,1,5,0,0, -0.666666666666667
Sipip Nùŕèodàkpiis,28,416,185,262,286,130,45.4545454545455,0,0,2,2,23,4,114,26,88,27,208,98,47.1153846153846, -5
Sipip Oŕeńà,12,174,27,40,49,18,36.734693877551,0,0,8,4,13,2,22,5,17,13,98,50,51.0204081632653, -6.91666666666667
Éxànnecig Peśqu,2,24,0,8,7,4,57.1428571428571,0,0,0,0,8,0,5,2,3,3,17,6,35.2941176470588, -10.5
Xémni Muqu,21,597,392,586,461,232,50.3253796095445,155,57,15,13,25,12,128,34,94,18,265,120,45.2830188679245, -0.428571428571429
University of Pentadominion 2 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
iʃśùv Nùx́iś,64,3072,7,0,0,0,0,0,0,0,0,5,0,685,154,531,1,3,1,33.3333333333333, -1.453125
Nàgiiś O'àpàasà,32,1287,93,336,371,163,43.9353099730458,0,0,30,10,75,18,356,88,268,56,518,261,50.3861003861004, -3.46875
Śonpennneŕgomà Oŕeńà,96,4436,340,2030,1766,800,45.3001132502831,758,201,47,20,218,57,521,145,376,100,2154,1252,58.1244196843083, -2.41666666666667
Pàʃdo Vàydep,37,1511,95,910,757,376,49.669749009247,226,69,33,17,69,17,162,36,126,25,705,353,50.0709219858156, -3.51351351351351
E'àǵay Ggàdéʃ,66,1792,586,891,720,349,48.4722222222222,299,85,10,5,82,25,196,56,140,31,770,381,49.4805194805195, -2.18181818181818
Éxànnecig Nùx́iś,33,1541,0,0,0,0,0,0,0,0,0,0,0,367,79,288,0,9,6,66.6666666666667, -5.24242424242424
Guvggillmào ʃiw,8,91,4,32,29,15,51.7241379310345,0,0,4,2,7,1,12,3,9,4,38,17,44.7368421052632, -5.125
Xémni Kupucdak,5,80,2,27,45,11,24.4444444444444,17,0,0,0,4,1,10,1,9,2,34,23,67.6470588235294, -1.8
Gèpeènè'nè Nùx́iś,35,1428,476,891,806,373,46.2779156327543,204,62,17,9,58,18,168,48,120,39,685,347,50.6569343065693, -5.71428571428571
Viiŕce Luʃpùwàrpèćii,2,47,6,35,22,15,68.1818181818182,9,5,0,0,1,1,5,1,4,2,29,12,41.3793103448276, 11
Ǵamà Ttéśve,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0, 0
Śonpennneŕgomà Muqu,9,162,9,69,80,34,42.5,0,0,2,1,13,2,30,5,25,12,69,30,43.4782608695652, -0.444444444444444
Ku Ǵèècòvèŕka,6,101,21,48,42,24,57.1428571428571,0,0,0,0,6,0,8,3,5,15,46,27,58.695652173913, -3.83333333333333
Xémni Dova'mar'éxànè,14,231,19,168,124,70,56.4516129032258,34,15,0,0,10,4,25,3,22,13,115,49,42.6086956521739, 3.92857142857143
Éxànnecig Pènnaggà,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
University of Shmupland 1 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Chwa Sung-Soo,32,1515,0,0,0,0,0,0,0,0,0,0,0,347,68,279,0,12,7,58.3333333333333, 7.71875
Kwak Kwang-Seok,128,2395,180,816,752,328,43.6170212765958,265,82,38,15,124,30,422,92,330,87,1106,614,55.5153707052441, -2.0625
Sol Song-Jin,96,4022,745,2441,2265,980,43.2671081677704,820,237,93,71,177,46,649,122,527,161,1725,914,52.9855072463768, -4.44791666666667
Chwa Sung-Soo,72,3099,350,1296,1171,585,49.9573014517506,196,69,6,3,161,25,376,79,297,54,1495,753,50.3678929765886, -3.61111111111111
Ka Jae-Wook,32,1249,475,631,547,258,47.1663619744059,218,68,3,2,43,191,163,34,129,61,342,145,42.3976608187134, 8.1875
Ha Song-Jin,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, -2
Chu Seung-Won,18,355,33,124,119,62,52.1008403361345,0,0,0,0,28,7,60,16,44,13,164,84,51.219512195122, -0.888888888888889
Sol Sung-Soo,21,383,66,166,211,78,36.9668246445498,0,0,14,10,14,7,60,9,51,23,178,92,51.685393258427, -1.38095238095238
Om Chin-Ho,4,40,0,31,24,13,54.1666666666667,7,3,0,0,1,1,6,0,6,0,18,9,50, -1.75
Kae Kwang-Jo,13,172,36,107,99,45,45.4545454545455,34,11,0,0,5,1,29,10,19,3,76,32,42.1052631578947, -0.0769230769230769
Kwak Minsu,66,3103,25,0,2,0,0,0,0,0,0,4,0,1010,254,756,2,30,15,50, -11.0151515151515
Ha Jung-Ho,90,1307,375,733,771,360,46.692607003891,0,0,20,13,53,14,345,77,268,92,556,253,45.5035971223022, -1.25555555555556
Sol Song-Jin,11,150,13,82,90,41,45.5555555555556,0,0,0,0,7,3,16,4,12,15,60,22,36.6666666666667, -1.90909090909091
Sol Sung-Soo,4,84,10,67,46,29,63.0434782608696,15,6,0,0,2,0,8,3,5,2,34,13,38.2352941176471, 1.25
Kam Young-Chul,12,155,42,83,76,41,53.9473684210526,0,0,2,1,7,1,18,6,12,5,69,35,50.7246376811594, -1.25
University of Shmupland 2 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Chu Kwang-Seok,93,3624,2,4,3,2,66.6666666666667,0,0,0,0,3,0,1164,270,894,4,21,14,66.6666666666667, -6.89247311827957
Ok Kwang-Jo,46,1331,433,795,773,395,51.0996119016818,0,0,8,5,29,14,322,74,248,92,529,270,51.0396975425331, -6.54347826086957
Kam Kwang-Jo,35,1507,149,540,615,263,42.7642276422764,0,0,36,14,75,25,183,39,144,48,772,360,46.6321243523316, -10.3142857142857
Ka Jung-Ho,32,1289,128,838,708,341,48.1638418079096,228,74,5,3,80,15,152,41,111,37,584,294,50.3424657534247, -11.40625
Sol Seung-Won,32,1171,96,158,178,77,43.2584269662921,0,0,8,4,67,11,140,33,107,31,544,264,48.5294117647059, -9.1875
Ka Song-Jin,30,819,10,0,0,0,0,0,0,0,0,5,0,222,50,172,0,3,2,66.6666666666667, -5.26666666666667
Kam Minsu,25,511,72,298,251,147,58.5657370517928,0,0,6,4,15,5,97,30,67,17,222,115,51.8018018018018, 0.76
Ok Kwang-Seok,3,44,2,14,20,6,30,7,1,0,0,4,1,6,2,4,4,28,10,35.7142857142857, -2.66666666666667
Sol Minsu,9,142,22,103,70,43,61.4285714285714,21,9,0,0,8,2,19,4,15,13,78,41,52.5641025641026, -1.44444444444444
Ka Minsu,10,181,114,90,90,40,44.4444444444444,31,7,0,0,4,1,28,6,22,3,63,30,47.6190476190476, -1.4
Kam Kwang-Jo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Sol Sung-Soo,17,276,55,161,157,76,48.4076433121019,0,0,20,9,12,3,58,16,42,19,150,79,52.6666666666667, -1.52941176470588
Ka Young-Chul,52,1767,396,1045,917,420,45.8015267175573,279,84,39,34,49,19,242,43,199,59,742,368,49.5956873315364, -1.71153846153846
Kae Kwang-Jo,9,187,28,136,128,68,53.125,0,0,0,0,6,6,29,5,24,17,81,33,40.7407407407407, 0.666666666666667
Sol Yeong-Jin,9,201,14,63,73,26,35.6164383561644,37,7,2,0,13,4,30,8,22,1,95,57,60, -7.22222222222222
University of Shmupland 3 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Chwa Young-Chul,32,1520,94,0,1,0,0,0,0,0,0,1,0,554,151,403,0,1,1,100, 8.0625
Ha Seung-Won,128,4544,959,2043,1884,999,53.0254777070064,45,12,28,15,120,62,850,218,632,260,1855,887,47.8167115902965, 3.234375
Sol Young-Chul,32,1330,229,585,557,287,51.5260323159785,0,0,22,11,45,21,154,44,110,82,580,262,45.1724137931035, 5.875
Kam Chin-Ho,68,2432,438,1527,1234,655,53.0794165316045,398,119,0,0,66,30,281,64,217,90,1242,625,50.3220611916264, 7.41176470588235
No Chin-Ho,32,1457,391,771,647,307,47.4497681607419,235,75,17,14,42,18,172,43,129,33,713,352,49.3688639551192, 8.8125
Kae Yeong-Jin,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, 5
Kwak Minsu,40,613,66,255,286,117,40.9090909090909,0,0,32,21,12,15,134,28,106,76,279,121,43.3691756272401, 2.25
Sol Chin-Ho,11,194,35,110,91,55,60.4395604395604,0,0,0,0,5,5,23,11,12,17,104,55,52.8846153846154, 6
Ka Jung-Ho,32,559,172,310,266,134,50.3759398496241,82,21,0,0,15,12,65,13,52,55,264,124,46.969696969697, 5.53125
Sol Chin-Ho,4,70,12,36,30,17,56.6666666666667,5,1,0,0,10,0,4,1,3,2,23,13,56.5217391304348, -4.25
Om Minsu,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0, -6
Kae Chin-Ho,23,337,69,196,177,98,55.3672316384181,0,0,0,0,9,43,60,20,40,53,141,34,24.113475177305, 7.82608695652174
Chwa Jae-Wook,4,12,1,11,6,4,66.6666666666667,3,3,0,0,1,0,0,0,0,1,7,5,71.4285714285714, 0.75
Chwa Chin-Ho,13,299,32,60,48,30,62.5,0,0,0,0,14,2,40,7,33,7,168,94,55.952380952381, -1.30769230769231
Chwa Kwang-Seok,1,8,3,3,2,1,50,2,1,0,0,0,0,1,0,1,0,5,3,60, -8
University of Shmupland 4 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Kam Sung-Soo,32,1536,0,0,0,0,0,0,0,0,0,0,0,310,76,234,0,0,0,0, 2.125
Kam Sung-Soo,65,1794,344,857,788,428,54.3147208121827,0,0,4,1,47,18,323,82,241,77,759,404,53.227931488801, 1.24615384615385
Sol Seung-Won,32,435,65,164,167,82,49.1017964071856,0,0,2,0,8,4,50,12,38,20,182,102,56.043956043956, -1.28125
Kam Song-Jin,96,4263,308,1882,1566,747,47.7011494252874,644,201,34,16,169,54,427,98,329,74,2159,1187,54.9791570171376, 2.80208333333333
Kam Jae-Wook,64,3010,1157,1582,1365,788,57.7289377289377,0,0,8,6,88,33,402,103,299,50,1320,698,52.8787878787879, 2.875
Chwa Chin-Ho,64,1944,5,34,29,17,58.6206896551724,0,0,0,0,2,0,515,145,370,1,41,14,34.1463414634146, 3.25
No Yeong-Jin,39,1298,205,502,514,236,45.9143968871595,0,0,54,30,38,10,201,50,151,74,492,245,49.7967479674797, 1.35897435897436
Chwa Minsu,33,800,74,274,288,131,45.4861111111111,0,0,16,12,35,16,84,28,56,20,376,187,49.7340425531915, -1.96969696969697
Sol Jung-Ho,2,13,2,0,5,0,0,2,0,0,0,0,0,2,1,1,1,4,2,50, 1
Ha Young-Chul,33,1140,367,581,455,215,47.2527472527472,195,65,30,23,27,12,132,35,97,20,512,262,51.171875, 4.96969696969697
Sol Seung-Won,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0
Om Chin-Ho,10,153,21,91,69,43,62.3188405797101,0,0,6,5,5,0,24,7,17,14,74,36,48.6486486486487, 4.2
Ha Sung-Soo,31,484,140,333,237,139,58.6497890295359,82,32,2,2,9,68,162,47,115,29,120,36,30, 6.2258064516129
Om Young-Chul,2,53,9,17,15,8,53.3333333333333,3,1,0,0,1,0,5,2,3,2,28,12,42.8571428571429, -3.5
Kae Chihu,11,267,84,139,115,59,51.304347826087,26,5,1,1,6,3,37,9,28,6,105,57,54.2857142857143, 3.36363636363636
University of Shmupland 5 players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Kwak Song-Jin,97,4454,35,263,211,100,47.39336492891,74,19,17,7,35,6,950,211,739,18,327,175,53.5168195718654, -7.57731958762887
Kam Yeong-Jin,84,3030,204,1316,1394,628,45.0502152080344,0,0,100,60,131,29,865,196,669,120,1405,762,54.2348754448399, -6.82142857142857
Ha Kwang-Jo,75,2072,278,1173,1093,478,43.7328453796889,356,113,36,25,91,27,267,55,212,43,1025,554,54.0487804878049, -6.06666666666667
Sol Song-Jin,32,1472,82,626,631,260,41.2044374009509,203,59,18,11,82,15,178,32,146,43,553,267,48.2820976491863, -11.28125
Kwak Jae-Wook,35,1549,77,589,552,224,40.5797101449275,268,86,30,18,78,15,204,34,170,11,651,365,56.0675883256528, -10.0857142857143
No Kwang-Jo,25,356,0,2,3,1,33.3333333333333,0,0,0,0,0,0,81,18,63,1,5,3,60, -5.28
Kam Chihu,31,544,110,270,249,135,54.2168674698795,0,0,0,0,13,5,106,31,75,12,278,145,52.158273381295, -0.774193548387097
Kae Seung-Won,91,2241,301,1147,1036,569,54.9227799227799,0,0,18,9,99,24,256,57,199,70,980,479,48.8775510204082, -2.46153846153846
Ha Sung-Soo,35,1374,103,661,616,317,51.461038961039,56,12,9,4,45,26,194,41,153,73,633,271,42.8120063191153, -1.82857142857143
Kwak Yeong-Jin,86,3546,910,1188,1085,591,54.4700460829493,0,0,22,6,124,44,430,103,327,52,1474,739,50.1356852103121, -5.08139534883721
Kae Jung-Ho,1,16,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0, -3
Ka Sung-Soo,17,236,44,112,96,54,56.25,10,3,0,0,9,2,40,7,33,15,103,48,46.6019417475728, 4.82352941176471
Ok Young-Chul,61,1331,844,776,699,384,54.9356223175966,0,0,16,8,34,95,315,75,240,83,476,193,40.546218487395, -0.836065573770492
Ha Jae-Wook,11,82,20,37,39,17,43.5897435897436,13,2,0,0,5,3,14,3,11,6,42,17,40.4761904761905, -2
Kam Chin-Ho,6,95,23,55,42,21,50,22,7,1,1,0,1,15,3,12,4,42,24,57.1428571428571, 0.166666666666667
University of Oasis City players,Games Played,Minutes,Assists,Points,Shots Taken,Shots Made,Field Goal Percentage,Threes Taken,Threes Made,Free Throws Taken,Free Throws Made,Turnovers,Steals,Rebounds,Offensive Rebounds,Defensive Rebounds,Fouls,Opponent Shots Against,Opponent Shots Made,Opponent Shot Percent,Point Differential
Nio Depazeoni,96,4371,9,74,54,31,57.4074074074074,16,3,0,0,6,3,1041,263,778,16,90,43,47.7777777777778, 9.9375
Eŋipxuk Kateni,108,2379,222,1308,1120,653,58.3035714285714,0,0,8,2,74,39,579,151,428,119,1178,633,53.7351443123939, 2.66666666666667
Dezik Depazeoni,84,2918,519,1275,1197,520,43.4419381787803,413,111,27,24,74,50,324,83,241,182,1199,494,41.2010008340284, 7.91666666666667
Pezi Piu,44,1507,597,1002,749,422,56.3417890520694,232,80,1,0,37,15,228,56,172,72,767,367,47.8487614080834, 8.31818181818182
Pau Kateni,32,1427,321,827,667,345,51.7241379310345,217,62,0,0,22,19,187,59,128,39,636,296,46.5408805031447, 10.125
Qutka Vuki,15,155,2,15,14,7,50,0,0,2,1,0,1,39,17,22,4,20,13,65, 4.73333333333333
Vioŋeki Nibrit,23,556,113,222,220,109,49.5454545454545,0,0,8,4,10,16,157,43,114,48,258,125,48.4496124031008, 6.1304347826087
