Division 0,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Yoka Tse,89,71,3309,3286,4,4,41
University of Imperial Institute at Levzent,82,78,3249,3326,5,5,52
University of Imperial Institute at Faehrenfall,81,79,3411,3339,6,6,55
University of Western University,77,83,3049,2970,7,7,58
University of Ciulo,71,89,3143,3039,8,8,64
University of Akarine,46,114,2956,3277,9,9,91
University of Vikasa,24,136,2899,3346,10,10,100
Division 8,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Pokoj,102,58,3019,2827,1,1,21
University of Holykol,101,59,3144,3057,2,2,22
University of Forssa,91,69,3436,3194,3,3,35
University of Seraphia,84,76,3070,2989,4,4,48
University of Lumein,83,77,2893,2936,5,5,50
University of Starrie,76,84,3208,3030,6,6,59
University of Norkute,67,93,3014,3433,7,7,74
University of Protopolis,66,94,3243,3347,8,8,75
University of Vatallus,52,108,3180,3277,9,9,85
University of Biodry,47,113,3005,3230,10,10,90
Division 9,Wins,Losses,Points Scored,Points Against,Division Rank,Conference Rank,League Rank
University of Bongatar 1,110,50,3242,3085,1,1,11
University of Bongatar 2,104,56,3415,3177,2,2,17
University of Aahrus 2,92,68,3097,3033,3,3,33
University of Ikkuvvuki,89,71,3268,3186,4,4,39
University of Fiik Lanki Akol,86,74,2916,3001,5,5,46
University of Aahrus 1,81,79,3012,3054,6,6,56
University of Yuofuan,71,89,2933,2945,7,7,65
University of Maxwmkakki,56,104,3224,3159,8,8,80
University of Vikkada,44,116,2888,3124,9,9,93
University of Lnwm,44,116,2575,3064,10,10,94
