Aahrus Moosi	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Ethanthova	Dylan Cass	1	77	69	37	27	22	47	86	123	71	83	95	C+	27	66.60	222	-2	1	32	273
Bongatar	Ydar Iode	2	103	88	54	47	44	102	63	95	62	61	105	C	30	72.62	205	-3	1	32	126
Kaeshar	Makiaipisi Finapeke	3	94	93	79	25	63	80	57	48	93	29	94	F	22	67.02	1373	2	1	57	257
Aeridani	Lyintaria Player #6	4	22	7	105	104	47	57	81	26	81	54	67	C+	31	73.89	781	1	1	27	99
Bielosia	Bane Souksanh	5	55	57	41	78	91	28	98	34	32	77	96	F	23	61.15	1377	1	1	94	503
Serkr Atolls	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Aeridani	Saiki Shunmyo	1	66	81	61	46	26	61	78	117	51	50	99	B+	28	67.74	57	-1	6.7	25	234
Auspikitan	Iveo Vokigei	2	109	105	48	33	45	78	90	105	89	80	84	C+	26	76.88	218	-3	1	15	58
Kaeshar	Makiaipisi Finapeke	3	94	93	79	25	63	80	57	48	93	29	94	F	21	67.02	1439	1	1	57	257
Tri_National_Dominion	Niko Stengel	4	73	17	100	90	55	77	77	18	88	56	78	B+	30	75.62	219	1	9.9	23	69
Barsein	Barsein Player #2	5	75	50	96	89	75	58	57	49	86	49	100	B	32	73.16	779	1	1	21	112
Aiyota	Aiyota Player #1	1	80	91	14	13	13	99	59	77	62	47	69	C	31	56.26	247	1	1	109	714
Aiyota	Pranga  	2	114	79	37	31	56	84	73	115	72	57	92	B	27	73.60	1243	-1	1	27	105
Antarion	Denni O'àpàasà	3	65	54	94	30	78	50	78	42	78	45	83	F	23	65.68	1376	2	1	67	329
Blaist_Blaland	Nupa Auprat	4	61	40	85	91	64	65	74	45	78	62	87	C+	26	73.56	221	2	1	29	107
Shmupland	Chu Minsu	5	51	47	77	72	71	67	58	27	32	73	67	F	24	59.51	1319	0	1	118	584
Darvincia	Fox	1	60	78	32	30	47	56	1	74	45	49	54	C+	29	41.61	83	1	1	197	1060
Bielosia	Ikaika Saysamongdy	2	90	97	47	29	45	66	58	49	51	38	80	F	21	53.15	-1	0	1	164	824
Dotruga	Alukeili Kersidomobek	3	81	80	59	23	57	61	34	39	95	75	81	C+	19	56.31	-1	1	1	146	711
Lyintaria	Pxalit'k'a Player #8	4	31	25	92	91	66	18	40	35	70	48	88	C+	29	62.99	901	2	1	111	442
Dtersauuw_Sagua	Ivek'il Wap't'ebw	5	32	25	80	59	67	50	47	14	81	37	80	F	23	58.52	1471	1	1	123	628
Shmupland Dictators	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Nausicaa	Vŕá Płońiblá	1	111	99	73	56	55	84	73	94	64	75	85	C	31	73.00	234	-3	1	7	118
Bongatar	Ydar Iode	2	103	88	54	47	44	102	63	95	62	61	105	C	30	72.62	205	-3	1	32	126
Key_to_Don	Swanano Nonhkwaqan	3	61	29	85	85	61	61	62	62	90	50	82	C+	27	72.28	796	2	1	33	130
Ethanthova	Kibi Fevioka	4	49	68	59	102	61	59	74	11	90	45	45	C	21	67.28	871	1	1	58	253
Dotruga	Versi Alovek	5	68	57	91	80	119	93	70	62	87	51	65	C+	26	84.50	160	-1	1	6	15
Bielosia	Center #162	1	72	70	66	60	33	94	72	65	64	50	63	A	27	66.13	990	3	1	35	301
Antarion	Duuśuś Neśom	2	87	96	39	22	58	77	66	96	27	68	94	F	22	59.86	1412	1	1	114	572
Transhimalia	Ienaga Ethanthovok	3	98	95	79	28	63	38	87	86	88	14	64	F	25	67.48	1295	3	1	51	243
Kaeshar	Eŋipxuk Nipta	4	71	80	92	71	58	56	28	27	95	43	91	F	22	66.30	1364	1	1	72	292
Kaeshar	Imuk Poi	5	27	29	64	95	90	36	64	21	70	20	77	F	22	64.49	1424	1	1	71	390
Bielosia	Center #162	1	72	70	66	60	33	94	72	65	64	50	63	A	27	66.13	990	3	1	35	301
Dotruga	Atolep Subeina	2	53	68	42	33	13	82	42	96	68	65	54	F	24	59.64	1327	-1	1	115	575
Shmupland	Eun Cho	3	91	51	9	104	10	88	91	54	63	50	66	C	26	59.91	229	1	1	118	567
Height_Sagua	Height Sagua Player #4	4	9	31	80	77	68	50	84	11	63	49	100	D	31	65.69	55	1	1	85	327
Blaist_Blaland	Point Guard #92	5	22	42	72	74	74	50	56	11	33	50	46	D	29	54.63	1150	1	1	171	785
Aiyota Pumps	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Bob Gagodo	1	72	57	70	77	43	59	47	86	84	54	69	C+	24	66.39	163	2	1	33	282
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Ethanthova	Lee Stidham	3	35	15	101	78	84	88	48	42	86	79	71	D	22	74.01	1195	3	1	25	97
Height_Sagua	San Holo	4	56	24	129	130	110	96	91	16	128	57	110	B	27	99.99	245	0	20	2	1
Dotruga	Olandi Olamos	5	49	60	70	75	111	84	60	56	80	103	90	C+	24	77.06	248	1	5.8	14	53
Blaist_Blaland	Pixtij Lekaxo	1	109	82	44	30	30	60	83	90	67	53	60	B	28	62.41	242	1	1	75	470
Czalliso	noe	2	85	96	47	38	74	50	74	95	46	28	96	F	23	63.34	1395	2	1	92	429
Holykol	xek	3	87	62	106	98	62	65	35	36	83	53	107	C+	35	71.20	256	-3	1	37	144
Aeridani	Murata Yoshifumi	4	58	39	102	102	66	67	61	20	75	66	108	B+	24	75.56	119	-1	1	24	78
Holy_Yektonisa	Keowynn Douangvily	5	41	38	54	60	81	56	69	34	33	29	84	F	22	57.90	1483	1	1	134	652
Nja	Màce Nùx́iś	1	98	89	39	22	16	51	46	96	75	34	96	F	24	57.32	1380	1	1	102	680
Czalliso	noe	2	85	96	47	38	74	50	74	95	46	28	96	F	22	63.34	1451	1	1	92	429
Nausicaa	Mhokba Djamhámhoñha	3	79	88	67	79	49	86	61	67	87	43	75	C+	26	71.10	195	-3	1	40	147
Pyxanovia	Height Sagua Player #6	4	24	17	68	58	70	80	77	32	79	46	60	B+	29	65.78	483	3	1	76	318
Pyxanovia	Aulii Sayasone	5	21	28	35	71	77	66	20	41	95	79	49	F	21	55.77	-1	0	1	155	736
Avura Aviators	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Omumiba Keget	1	86	107	59	22	47	104	84	92	88	25	86	B	27	77.04	257	-2	8.3	3	54
Auspikitan	Tibiziŋag Ifet	2	99	30	63	64	38	76	95	80	77	46	83	C	31	74.27	258	-2	10.4	26	96
Dotruga	Ijba Bexotrugo	3	95	76	87	80	81	70	65	63	79	63	88	B	30	74.79	264	-3	1	22	89
Blaist_Blaland	Nupa Auprat	4	61	40	85	91	64	65	74	45	78	62	87	C+	26	73.56	221	2	1	29	107
Barsein	Barsein Player #2	5	75	50	96	89	75	58	57	49	86	49	100	B	32	73.16	779	1	1	21	112
Pyxanovia	Pyxanovia Player #9	1	76	69	41	29	61	78	59	66	49	45	78	B	31	56.68	748	-2	1	105	700
Pyxanovia	Pyxanovia Player #5	2	68	63	52	49	54	41	71	92	75	57	105	C	26	66.20	356	0	1	67	296
Blaist_Blaland	Kilik Farhje	3	88	88	55	62	90	84	79	84	74	93	70	B	25	73.60	259	3	10.7	29	104
Bielosia	Mya Saysamongdy	4	34	66	69	87	70	65	63	39	77	32	1	C	25	64.56	525	3	1	92	378
Loviniosa	Kimo Rattanvongsa	5	19	42	80	77	86	67	59	33	63	62	93	B+	31	68.39	545	1	1	52	207
Pyxanovia	Pyxanovia Player #9	1	76	69	41	29	61	78	59	66	49	45	78	B	31	56.68	748	-2	1	105	700
Pyxanovia	Pyxanovia Player #5	2	68	63	52	49	54	41	71	92	75	57	105	C	26	66.20	356	0	1	67	296
Sagua	Váqáp Qlámipanońqo 	3	36	111	77	74	106	86	69	44	25	100	48	C+	23	64.54	1199	0	1	84	382
Bielosia	Mya Saysamongdy	4	34	66	69	87	70	65	63	39	77	32	1	C	25	64.56	525	3	1	92	378
Dotruga	Kiromibakeili Tute 	5	44	20	67	65	70	86	69	31	27	89	100	D+	26	62.86	1200	-1	1	78	455
Boltway Bad Dragons	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Ethanthova	David Lavender	2	96	94	68	48	59	51	33	99	84	36	68	F	25	65.22	1315	2	1	75	348
Dotruga	Alubembi Hadosa	3	78	84	66	63	71	74	84	49	82	51	86	B	29	70.77	278	-1	4.1	42	153
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Auspikitan	Nio Oipa	5	25	35	85	90	76	60	90	9	62	51	85	C+	27	70.34	827	2	1	27	160
Height_Sagua	Boḿa Blamhákpwano	1	8	12	69	52	81	71	5	76	92	64	68	C+	25	61.08	111	1	1	85	520
Ethanthova	David Lavender	2	96	94	68	48	59	51	33	99	84	36	68	F	25	65.22	1315	2	1	75	348
Ethanthova	Sebastien Robertson	3	62	72	88	92	59	66	53	90	55	30	4	C+	27	65.42	333	3	1	71	340
Czalliso	roe	4	58	51	89	45	81	94	44	48	63	67	67	F	22	65.57	1371	3	1	87	333
Nausicaa	Atrêsga Cows	5	34	45	77	56	93	46	55	46	44	77	75	F	22	60.54	1444	1	1	106	537
Wyverncliff	Andries Martinez	1	78	91	22	22	40	69	86	89	56	49	65	B	28	59.76	284	0	1	91	573
Aeridani	Center #113	2	10	63	33	39	58	74	65	89	68	55	73	B	31	64.08	474	1	1	87	410
Lyintaria	Small Forward #124	3	38	41	19	17	55	72	67	65	14	46	82	C+	28	43.93	1052	1	1	191	1000
Lyintaria	Kaili Vatthana	4	14	14	100	18	51	64	37	30	92	61	94	F	20	59.45	1476	1	1	138	589
Dotruga	Alokeili Hersa	5	29	33	57	91	71	41	47	14	54	77	96	F	20	56.98	-1	1	1	142	690
Dotruga Falno	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alubembi Keget	1	96	92	63	19	47	67	65	96	87	74	72	F	23	68.04	1361	2	6.74191066066066	21	228
Czalliso	roe	2	101	99	51	21	21	95	46	106	76	65	88	C+	19	68.60	1432	1	1	39	198
Shmupland	Sol Song-Jin	3	35	20	101	70	88	65	86	99	106	106	72	B	29	85.51	175	-3	1	3	13
Ethanthova	Rusty Berry	4	57	63	103	116	84	70	89	22	108	38	72	C+	30	87.43	431	-2	1	5	7
Barsein	Barsein Player #2	5	75	50	96	89	75	58	57	49	86	49	100	B	32	73.16	779	1	1	21	112
Kaeshar	Teva Ainigdine	1	64	64	32	10	28	70	56	79	65	23	80	F	20	55.08	1467	1	1	116	761
Dotruga	Atolep Subeina	2	53	68	42	33	13	82	42	96	68	65	54	F	23	59.64	1413	1	1	115	575
Aeridani	Minamoto Takeji	3	75	49	66	67	62	57	90	65	87	98	90	B	26	71.51	297	1	1	35	134
Ethanthova	Halsten Jöran	4	49	24	98	91	53	16	66	16	100	56	59	C+	28	67.29	862	0	1	56	248
Shmupland	Chu Minsu	5	51	47	77	72	71	67	58	27	32	73	67	F	23	59.51	1411	1	1	118	584
Auspikitan	Qili Kedi	1	79	71	7	11	32	104	31	75	64	50	45	D	28	51.54	616	1	1	139	861
Shmupland	No Chihu	2	92	1	73	26	72	64	48	59	44	23	5	D	20	52.24	-1	0	1	169	837
Holykol	xek	3	87	62	106	98	62	65	35	36	83	53	107	C+	35	71.20	256	-3	1	37	144
Lyintaria	Alukeili Himadosadetsei	4	84	32	75	67	56	33	58	42	80	57	69	C+	24	61.10	795	3	1	127	517
Darvincia	Point Guard #93	5	16	24	88	90	63	48	29	29	55	46	55	C	29	56.78	911	0	1	147	697
Ethanthova Ponies	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Alubembi Keget	1	96	92	63	19	47	67	65	96	87	74	72	F	22	68.04	1426	1	1	21	228
Tri_National_Dominion	Asser Steinbauer	2	96	103	78	65	38	86	90	85	66	42	98	C+	25	76.72	314	1	1	17	60
Transhimalia	Gmii Hlema	3	96	96	52	38	39	96	39	80	99	64	97	F	23	66.75	1374	1	1	60	267
Pyxanovia	Height Sagua Player #6	4	24	17	68	58	70	80	77	32	79	46	60	B+	29	65.78	483	3	1	76	318
Lyintaria	Lae Thepsenavong	5	62	62	85	82	62	77	55	18	99	6	96	D+	28	70.03	931	2	1	31	167
Auspikitan	Kipana Nibrit	1	93	108	16	17	26	82	83	97	62	47	51	C+	23	61.12	116	1	1	78	507
Aeridani	Kompasu Yasuoka	2	71	47	58	39	71	58	81	92	91	27	56	C+	30	71.77	540	0	1	34	132
Kaeshar	Taneba Vokigei	3	91	94	88	29	23	66	54	83	83	19	52	F	23	61.74	1332	-1	1	104	483
Pyxanovia	Height Sagua Player #6	4	24	17	68	58	70	80	77	32	79	46	60	B+	29	65.78	483	3	1	76	318
Czalliso	Jig	5	18	50	78	86	91	38	48	31	59	54	55	B	27	61.80	1179	-1	1	87	482
Auspikitan	Kipana Nibrit	1	93	108	16	17	26	82	83	97	62	47	51	C+	23	61.12	116	1	1	78	507
Kaeshar	Pau Nibrit	2	96	93	64	33	46	30	71	76	60	54	68	F	21	57.40	-1	0	1	139	677
Blaist_Blaland	Ixbla Naxki	3	74	61	54	34	36	75	50	99	71	46	96	F	23	61.67	-1	2	1	105	484
Pyxanovia	Height Sagua Player #6	4	24	17	68	58	70	80	77	32	79	46	60	B+	29	65.78	483	3	1	76	318
Blaist_Blaland	Zaxkla Kukroda	5	22	23	54	63	88	70	49	24	58	87	84	F	23	60.47	1406	3	1	110	541
Faehrenfall Feathercats	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Czalliso	noe  	1	102	62	23	25	39	99	57	103	66	73	81	C+	22	65.21	1244	1	1	45	353
Aeridani	Tha Tricka	2	1	42	64	63	69	90	76	75	79	54	60	B+	31	72.98	318	0	4	29	122
Dotruga	Alomibamobei Osadolsei	3	66	48	113	74	65	71	91	41	93	62	88	B	27	79.04	102	-1	1	10	46
Dotruga	Alundi Elodosatrisei	4	94	79	107	97	63	75	52	37	95	94	93	B	29	79.38	330	-2	1	17	42
Wyverncliff	Xavier Wilcox	5	71	36	70	86	97	98	70	101	71	46	68	C+	28	80.58	58	-1	1	9	34
Darvincia	Nàsà Sikasbë 	1	67	57	31	40	32	70	86	77	74	50	61	D+	26	62.52	1220	-1	5	72	467
Aiyota	Munglegarra	2	42	50	44	47	83	74	72	88	60	1	70	C	28	66.76	571	2	1	64	266
Wyverncliff	Nathaniel Starks	3	61	65	70	64	81	76	49	42	84	53	59	B	28	65.93	460	2	1	63	313
Ethanthova	William Garber	4	58	79	60	55	40	55	50	63	92	27	83	F	22	60.93	1472	1	1	131	522
Aiyota	Namia Akaleta	5	34	34	90	88	58	82	66	25	75	54	81	C+	29	69.73	601	2	1	35	172
Auspikitan	Biplatza Ifet	1	61	66	36	31	41	54	91	93	52	53	57	C	33	59.60	97	1	1	93	577
Aeridani	Ogino Kunimichi	2	55	61	64	65	62	72	40	59	55	64	95	C	26	59.55	634	1	1	117	580
Blaist_Blaland	Small Forward #54	3	43	14	79	73	71	61	21	106	62	52	58	C+	29	64.11	637	3	1	88	406
Blaist_Blaland	Nukunaix Lizaxium	4	33	29	92	55	20	54	60	21	80	52	63	F	22	57.52	-1	1	1	167	669
Wyverncliff	Travis Traenfeglia	5	55	47	76	65	84	58	69	21	96	59	87	B	24	68.78	433	3	1	40	186
Stedro Boulders	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Atumiba Bexomos	1	95	69	63	33	35	66	68	96	85	101	74	B	26	68.38	420	1	1	19	213
Lyintaria	Kaili Saenthavisouk	2	74	84	55	44	80	97	96	84	62	37	101	C	27	76.95	177	0	14.5	14	57
Ethanthova	Lee Stidham	3	35	15	101	78	84	88	48	42	86	79	71	D	22	74.01	1195	3	1	25	97
Oesa	Sitwa Luvepiri	4	73	32	96	98	66	74	51	33	49	46	56	D	23	67.65	89	3	1	52	235
Lyintaria	Lae Thepsenavong	5	62	62	85	82	62	77	55	18	99	6	96	D+	28	70.03	931	2	1	31	167
Aeridani	Nagata Taki	1	63	99	40	25	46	78	71	112	63	95	74	B	27	66.91	336	1	1	28	264
Bielosia	Aulii Savang	2	92	93	28	16	41	91	45	86	75	36	97	F	22	62.88	1460	1	1	96	452
Transhimalia	Gmii Hlema	3	96	96	52	38	39	96	39	80	99	64	97	F	24	66.75	1306	-1	1	60	267
Czalliso	roe	4	58	51	89	45	81	94	44	48	63	67	67	F	21	65.57	1428	1	1	87	333
Barsein	Okada Sumiteru	5	78	35	87	75	16	74	73	44	101	94	87	D+	26	65.53	335	1	1	64	337
Darvincia	Làto Sokàtà	1	28	24	48	47	63	85	75	71	57	80	59	C+	29	62.97	512	-3	1	66	449
Aeridani	Fast Break	2	5	83	76	80	8	75	41	36	85	46	85	C+	28	60.32	371	2	1	107	546
Ethanthova	Sebastien Robertson	3	62	72	88	92	59	66	53	90	55	30	4	C+	27	65.42	333	3	1	71	340
Solea	kekh pátélokain	4	55	80	77	67	34	44	78	23	95	22	74	F	22	63.59	1386	0	1	105	425
Bielosia	Lilo Phomsouvanh	5	56	56	30	79	97	56	40	72	47	77	87	F	23	60.17	1311	2	1	113	560
TND Tanks	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Nausicaa	Vŕá Płońiblá	1	111	99	73	56	55	84	73	94	64	75	85	C	31	73.00	234	-3	1	7	118
Shmupland	Kwak Chihu	2	72	80	62	67	74	97	94	73	69	65	95	B	28	77.64	357	-1	3.8	11	52
Tri_National_Dominion	Carsten Meyer	3	45	67	65	91	93	88	62	42	106	10	89	C+	24	78.53	510	-1	8.8	12	48
Aiyota	Quartermarra	4	71	88	102	116	58	64	69	43	92	94	60	B	27	79.70	351	-1	8.8	15	40
Auspikitan	Biplatza Gekxakŋi	5	69	20	44	54	94	74	87	96	41	43	56	D+	34	66.98	277	2	1	56	260
Dotruga	Himiba Alumosvek	1	100	92	34	19	34	36	82	91	99	75	96	F	25	64.52	1294	1	1	58	384
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Loviniosa	Phetdum Vatthana	3	79	8	11	95	82	71	74	70	84	55	92	C	28	69.43	348	-2	20	47	180
Solea	Hato Yoshifumi	4	73	17	88	91	42	64	62	36	91	58	62	B	28	70.06	721	-1	1	42	164
Wyverncliff	Zac Perch	5	16	22	57	64	83	49	67	19	92	38	67	F	22	62.23	1430	1	1	82	473
Auspikitan	Kipana Nibrit	1	93	108	16	17	26	82	83	97	62	47	51	C+	23	61.12	116	1	1	78	507
Darvincia	Cabodu Gasbërr	2	77	98	73	21	40	49	67	98	42	100	79	F	23	60.75	1403	2	1	104	529
Dotruga	Sagolegotosiei Sagotxile	3	59	67	80	81	100	18	47	47	72	54	83	B	26	63.05	341	-1	1	99	436
Lyintaria	Alukeili Himadosadetsei	4	84	32	75	67	56	33	58	42	80	57	69	C+	24	61.10	795	3	1	127	517
Dotruga	Alosembi Elotrisei	5	64	5	58	41	73	62	85	69	48	22	80	C+	28	61.83	262	-1	1	85	480
Bongatar Banging Bongos	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Lyintaria	Kalani Saysamongdy	1	111	103	50	19	51	81	103	150	92	53	63	C	26	83.97	361	0	10.7	2	19
Czalliso	roe	2	101	99	51	21	21	95	46	106	76	65	88	C+	20	68.60	1384	1	1	39	198
Transhimalia	Kasai Isei	3	63	45	107	108	40	98	95	85	98	70	58	B+	27	87.44	372	-2	5	2	6
Dotruga	Amoda Kixidodotsei	4	62	36	70	87	77	67	84	28	80	50	64	C+	26	71.34	870	1	1	34	136
Transhimalia	Fujikawa Masuhiro	5	73	40	62	45	115	96	114	73	92	50	103	B	28	85.55	365	0	10.8	5	12
Pyxanovia	Konala Ketthavong	1	68	78	18	23	39	65	51	93	56	60	68	F	23	53.85	1470	1	1	125	809
Bielosia	Aulii Savang	2	92	93	28	16	41	91	45	86	75	36	97	F	24	62.88	1321	-1	1	96	452
Shmupland	No Seung-Won	3	89	104	26	23	36	111	107	75	87	48	73	C+	28	68.45	369	-1	1.7	48	205
Czalliso	ilo	4	71	64	83	45	86	58	48	15	94	85	70	F	22	64.46	1438	1	1	96	399
Aeridani	Nagasawa Okitsugu	5	60	19	81	82	74	58	42	37	74	17	90	C	24	65.00	389	1	1	66	370
Dotruga	Sagolna Hartotasek 	1	47	69	9	43	41	61	45	94	34	92	83	C+	22	49.92	1194	1	1	153	899
Dotruga	Melebin Kixidodotsei	2	89	99	58	39	28	83	72	78	28	8	63	C	21	58.68	295	1	1	129	609
Ethanthova	Eric Gilroy	3	69	66	74	82	80	86	64	16	82	63	57	B	27	68.39	735	2	1	49	211
Holy_Yektonisa	Bongatar Player #4	4	21	10	103	104	49	50	25	23	66	47	68	D+	30	63.79	740	0	1	103	423
Aeridani	Nagasawa Okitsugu	5	60	19	81	82	74	58	42	37	74	17	90	C	24	65.00	389	1	1	66	370
Czalliso Pythons	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Bielosia	Center #162	1	72	70	66	60	33	94	72	65	64	50	63	A	27	66.13	990	3	1	35	301
Wyverncliff	Quinten Grabochov	2	94	71	69	15	45	52	63	102	90	44	62	B+	25	68.23	143	3	1	44	215
Wyverncliff	Juri Perch	3	64	81	81	78	74	60	110	90	69	86	85	C+	27	78.51	388	-1	13.6405936891177	13	49
Czalliso	mu	4	7	20	88	84	68	85	86	20	89	52	84	B+	31	76.34	379	1	14.3	20	63
Wyverncliff	Travis Traenfeglia	5	55	47	76	65	84	58	69	21	96	59	87	B	24	68.78	433	3	1	40	186
Dotruga	Himiba Alumosvek	1	100	92	34	19	34	36	82	91	99	75	96	F	23	64.52	1362	0	1	58	384
Dotruga	Hevek Gagomos	2	81	38	25	25	81	96	86	88	53	53	79	C+	29	68.17	385	1	3.6	56	227
Kaeshar	Makiaipisi Nipta	3	98	97	46	31	49	99	51	86	72	26	80	F	22	63.24	1398	1	1	95	432
Auspikitan	Pau Finapeke	4	65	53	74	69	66	59	78	18	83	83	114	B	26	68.73	383	1	3.1	51	197
Nausicaa	Atrêsga Cows	5	34	45	77	56	93	46	55	46	44	77	75	F	25	60.54	1304	1	1	106	537
Nja	Màce Nùx́iś	1	98	89	39	22	16	51	46	96	75	34	96	F	23	57.32	1448	1	1	102	680
Pyxanovia	Pyxanovia Player #5	2	68	63	52	49	54	41	71	92	75	57	105	C	26	66.20	356	0	1	67	296
Dotruga	Kaliso Olamosei	3	43	60	81	68	23	72	61	50	75	68	77	F	25	62.68	1331	1	1	101	457
Ethanthova	Kibi Fevioka	4	49	68	59	102	61	59	74	11	90	45	45	C	21	67.28	871	1	1	58	253
Blaist_Blaland	Zaxkla Kukroda	5	22	23	54	63	88	70	49	24	58	87	84	F	25	60.47	1308	-1	1	110	541
Dvimne Spirits	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Kiromi Kersidomobek	1	106	17	15	10	33	70	85	102	104	55	73	C+	26	68.82	88	0	1	15	184
Dotruga	Alukeili Asolomundi	2	76	87	82	64	66	75	90	109	76	47	98	B+	30	82.83	676	-1	3.4	6	26
Wyverncliff	Nathaniel Starks	3	61	65	70	64	81	76	49	42	84	53	59	B	28	65.93	460	2	1	63	313
Czalliso	roe	4	58	51	89	45	81	94	44	48	63	67	67	F	24	65.57	1310	1	1	87	333
Lyintaria	Lae Thepsenavong	5	62	62	85	82	62	77	55	18	99	6	96	D+	28	70.03	931	2	1	31	167
Loviniosa	Malo Sengtavisouk	1	8	71	33	19	75	58	64	70	63	61	45	C+	27	54.82	191	1	1	119	776
Aeridani	Wakayama Higashikuni	2	64	82	52	57	50	86	86	83	65	65	54	B	27	69.91	706	-1	6.50617334054834	38	171
Antarion	Denni O'àpàasà	3	65	54	94	30	78	50	78	42	78	45	83	F	22	65.68	1447	1	1	67	329
Shmupland	Om Sung-Soo	4	52	42	92	90	46	76	28	59	27	23	79	F	21	60.24	1420	3	1	134	557
Barsein	Okada Sumiteru	5	78	35	87	75	16	74	73	44	101	94	87	D+	26	65.53	335	1	1	64	337
Aeridani	Watsuji Isei	1	68	87	25	32	30	71	57	69	49	52	49	C+	23	50.70	497	1	1	142	877
Darvincia	Cabodu Kanix	2	3	8	74	53	50	80	68	72	62	74	1	C	24	62.14	198	3	1	103	476
Tri_National_Dominion	Till Seidel	3	51	36	85	68	28	75	53	85	67	6	71	D+	27	65.10	753	-1	1	81	368
Height_Sagua	Kibibei Alodosulomundi	4	50	26	58	57	84	52	45	37	67	46	61	C	25	57.57	632	1	1	165	667
Sagua	Bá Noq	5	42	30	33	31	76	83	64	34	30	45	59	C+	25	51.87	1141	1	1	181	852
Holy Yektonisa Bishops	Player	Position	Layup	Dunk	Jumpshot	3PT	Pass	ShotContest	DefenseIQ	Jumping	Seperation	Durability	Stamina	Development	Age	Overall	Player ID	Years Remaining	Money	Position Rank	League Rank
Dotruga	Atumiba Bexomos	1	95	69	63	33	35	66	68	96	85	101	74	B	26	68.38	420	1	1	19	213
Ethanthova	Iggy Bolter	2	65	76	64	47	66	93	66	107	62	47	96	C+	28	75.46	164	2	1	21	80
Loviniosa	Malo Sayasone	3	75	61	104	82	100	77	63	68	58	64	70	C+	31	75.59	238	3	1	14	70
Tri_National_Dominion	Alwin Gradl	4	47	23	97	93	72	69	60	47	90	49	60	C	28	76.02	426	1	1	21	64
Nausicaa	Błá Váva	5	60	50	82	92	85	63	88	22	90	20	62	B	28	74.89	826	2	1	16	85
Ethanthova	Grant Pool	1	73	83	44	42	26	105	81	62	27	51	73	C	28	58.61	68	-1	1	97	618
