Game 1,Home,Score,Away,Score
,Aahrus Moosi,141,Ethanthova Ponies,131
,Dotruga Falno,107,Faehrenfall Feathercats,117
,Boltway Bad Dragons,112,Stedro Boulders,111
,Avura Aviators,120,TND Tanks,105
,Aiyota Pumps,112,Bongatar Banging Bongos,110
,Shmupland Dictators,110,Czalliso Pythons,112
,Serkr Atolls,131,Dvimne Spirits,117
,Red Rainbow Sickles,109,Holy Yektonisa Bishops,122
,Naxda Nomads,93,Holykol Bears,122
,Kaeshar Kaisers,116,Lyintaria Lynx,128
,Blanaxon Hammers,114,Pyxanovia Pixies,121
,Barsein Bats,101,Transhimalia Disasters,116
,Autolik Autonomy,119,Auspikitan Golden Falcons,113
,Solea Geysers,109,Calto Cows,120
,Sagua Ocelots,123,Height Sagua Cats,110
,Manwx Saguans,118,Key to Don Yees,124
Game 35,Home,Score,Away,Score
,Autolik Autonomy,108,Aahrus Moosi,116
,Barsein Bats,123,Solea Geysers,115
,Blanaxon Hammers,132,Sagua Ocelots,128
,Kaeshar Kaisers,126,Manwx Saguans,113
,Naxda Nomads,125,Key to Don Yees,136
,Red Rainbow Sickles,104,Height Sagua Cats,119
,Serkr Atolls,129,Calto Cows,139
,Shmupland Dictators,113,Auspikitan Golden Falcons,106
,Aiyota Pumps,131,Transhimalia Disasters,113
,Avura Aviators,116,Pyxanovia Pixies,124
,Boltway Bad Dragons,115,Lyintaria Lynx,117
,Dotruga Falno,108,Holykol Bears,106
,Ethanthova Ponies,116,Holy Yektonisa Bishops,91
,Faehrenfall Feathercats,116,Dvimne Spirits,125
,Stedro Boulders,136,Czalliso Pythons,139
,TND Tanks,120,Bongatar Banging Bongos,128
Game 36,Home,Score,Away,Score
,Aahrus Moosi,113,Stedro Boulders,130
,Faehrenfall Feathercats,131,TND Tanks,124
,Ethanthova Ponies,135,Bongatar Banging Bongos,133
,Dotruga Falno,105,Czalliso Pythons,101
,Boltway Bad Dragons,125,Dvimne Spirits,105
,Avura Aviators,128,Holy Yektonisa Bishops,107
,Aiyota Pumps,114,Holykol Bears,110
,Shmupland Dictators,133,Lyintaria Lynx,128
,Serkr Atolls,113,Pyxanovia Pixies,107
,Red Rainbow Sickles,113,Transhimalia Disasters,110
,Naxda Nomads,113,Auspikitan Golden Falcons,112
,Kaeshar Kaisers,98,Calto Cows,121
,Blanaxon Hammers,114,Height Sagua Cats,122
,Barsein Bats,116,Key to Don Yees,132
,Autolik Autonomy,88,Manwx Saguans,100
,Solea Geysers,123,Sagua Ocelots,132
Game 37,Home,Score,Away,Score
,Dotruga Falno,118,Aahrus Moosi,120
,Boltway Bad Dragons,122,Ethanthova Ponies,123
,Avura Aviators,93,Faehrenfall Feathercats,130
,Aiyota Pumps,93,Stedro Boulders,113
,Shmupland Dictators,116,TND Tanks,112
,Serkr Atolls,121,Bongatar Banging Bongos,120
,Red Rainbow Sickles,118,Czalliso Pythons,114
,Naxda Nomads,125,Dvimne Spirits,108
,Kaeshar Kaisers,120,Holy Yektonisa Bishops,109
,Blanaxon Hammers,90,Holykol Bears,106
,Barsein Bats,109,Lyintaria Lynx,100
,Autolik Autonomy,113,Pyxanovia Pixies,130
,Solea Geysers,118,Transhimalia Disasters,116
,Sagua Ocelots,121,Auspikitan Golden Falcons,110
,Manwx Saguans,116,Calto Cows,114
,Key to Don Yees,100,Height Sagua Cats,105
Game 38,Home,Score,Away,Score
,Aahrus Moosi,113,Height Sagua Cats,102
,Key to Don Yees,101,Calto Cows,109
,Manwx Saguans,137,Auspikitan Golden Falcons,129
,Solea Geysers,110,Sagua Ocelots,125
,Autolik Autonomy,102,Kaeshar Kaisers,101
,Naxda Nomads,144,Blanaxon Hammers,149
,Red Rainbow Sickles,123,Barsein Bats,117
,Shmupland Dictators,95,Serkr Atolls,103
,Transhimalia Disasters,127,Holykol Bears,112
,Holy Yektonisa Bishops,122,Lyintaria Lynx,103
,Dvimne Spirits,124,Pyxanovia Pixies,126
,Bongatar Banging Bongos,119,Czalliso Pythons,105
,TND Tanks,122,Ethanthova Ponies,113
,Dotruga Falno,101,Faehrenfall Feathercats,120
,Boltway Bad Dragons,125,Stedro Boulders,126
,Aiyota Pumps,121,Avura Aviators,112
Game 39,Home,Score,Away,Score
,Transhimalia Disasters,118,Stedro Boulders,112
,Faehrenfall Feathercats,129,TND Tanks,110
,Ethanthova Ponies,107,Bongatar Banging Bongos,110
,Dotruga Falno,99,Czalliso Pythons,112
,Boltway Bad Dragons,105,Dvimne Spirits,119
,Avura Aviators,124,Holy Yektonisa Bishops,114
,Aiyota Pumps,114,Holykol Bears,123
,Pyxanovia Pixies,120,Lyintaria Lynx,124
,Aahrus Moosi,127,Barsein Bats,135
,Blanaxon Hammers,123,Autolik Autonomy,117
,Kaeshar Kaisers,122,Solea Geysers,126
,Naxda Nomads,107,Sagua Ocelots,118
,Red Rainbow Sickles,118,Manwx Saguans,114
,Serkr Atolls,121,Key to Don Yees,124
,Shmupland Dictators,118,Height Sagua Cats,114
,Auspikitan Golden Falcons,115,Calto Cows,114
Game 40,Home,Score,Away,Score
,Holy Yektonisa Bishops,144,Aahrus Moosi,140
,Dvimne Spirits,124,Holykol Bears,121
,Czalliso Pythons,115,Lyintaria Lynx,116
,Bongatar Banging Bongos,124,Pyxanovia Pixies,114
,TND Tanks,117,Transhimalia Disasters,111
,Stedro Boulders,107,Auspikitan Golden Falcons,109
,Faehrenfall Feathercats,132,Calto Cows,128
,Ethanthova Ponies,115,Height Sagua Cats,111
,Dotruga Falno,117,Key to Don Yees,107
,Boltway Bad Dragons,130,Manwx Saguans,138
,Avura Aviators,120,Sagua Ocelots,111
,Aiyota Pumps,111,Solea Geysers,124
,Shmupland Dictators,122,Autolik Autonomy,119
,Serkr Atolls,148,Barsein Bats,115
,Red Rainbow Sickles,117,Blanaxon Hammers,124
,Naxda Nomads,112,Kaeshar Kaisers,119
Game 41,Home,Score,Away,Score
,Aiyota Pumps,113,Aahrus Moosi,121
,Avura Aviators,121,Shmupland Dictators,114
,Boltway Bad Dragons,125,Serkr Atolls,115
,Dotruga Falno,125,Red Rainbow Sickles,126
,Ethanthova Ponies,120,Naxda Nomads,129
,Faehrenfall Feathercats,110,Kaeshar Kaisers,117
,Stedro Boulders,117,Blanaxon Hammers,136
,TND Tanks,128,Barsein Bats,123
,Bongatar Banging Bongos,117,Autolik Autonomy,126
,Czalliso Pythons,127,Solea Geysers,128
,Dvimne Spirits,104,Sagua Ocelots,115
,Holy Yektonisa Bishops,127,Manwx Saguans,113
,Holykol Bears,101,Key to Don Yees,132
,Lyintaria Lynx,127,Height Sagua Cats,116
,Pyxanovia Pixies,127,Calto Cows,115
,Transhimalia Disasters,134,Auspikitan Golden Falcons,126
Game 42,Home,Score,Away,Score
,Aahrus Moosi,143,Sagua Ocelots,129
,Manwx Saguans,119,Solea Geysers,113
,Key to Don Yees,121,Autolik Autonomy,125
,Height Sagua Cats,113,Barsein Bats,109
,Calto Cows,100,Blanaxon Hammers,121
,Auspikitan Golden Falcons,97,Kaeshar Kaisers,113
,Transhimalia Disasters,119,Naxda Nomads,108
,Pyxanovia Pixies,131,Red Rainbow Sickles,129
,Lyintaria Lynx,117,Serkr Atolls,106
,Holykol Bears,116,Shmupland Dictators,106
,Holy Yektonisa Bishops,129,Aiyota Pumps,139
,Dvimne Spirits,136,Avura Aviators,117
,Czalliso Pythons,120,Boltway Bad Dragons,130
,Bongatar Banging Bongos,125,Dotruga Falno,128
,TND Tanks,97,Ethanthova Ponies,124
,Stedro Boulders,133,Faehrenfall Feathercats,120
Game 43,Home,Score,Away,Score
,Aahrus Moosi,116,Height Sagua Cats,113
,Key to Don Yees,114,Calto Cows,119
,Manwx Saguans,129,Auspikitan Golden Falcons,138
,Sagua Ocelots,134,Transhimalia Disasters,103
,Solea Geysers,104,Pyxanovia Pixies,125
,Autolik Autonomy,116,Lyintaria Lynx,122
,Barsein Bats,113,Holykol Bears,134
,Blanaxon Hammers,111,Holy Yektonisa Bishops,117
,Kaeshar Kaisers,103,Dvimne Spirits,128
,Naxda Nomads,94,Czalliso Pythons,109
,Red Rainbow Sickles,109,Bongatar Banging Bongos,94
,Serkr Atolls,112,TND Tanks,120
,Shmupland Dictators,121,Stedro Boulders,127
,Aiyota Pumps,105,Faehrenfall Feathercats,118
,Avura Aviators,105,Ethanthova Ponies,110
,Boltway Bad Dragons,125,Dotruga Falno,110
Game 44,Home,Score,Away,Score
,Boltway Bad Dragons,117,Aahrus Moosi,118
,Dotruga Falno,114,Avura Aviators,109
,Ethanthova Ponies,120,Aiyota Pumps,128
,Faehrenfall Feathercats,116,Shmupland Dictators,111
,Stedro Boulders,116,Serkr Atolls,109
,TND Tanks,127,Red Rainbow Sickles,120
,Bongatar Banging Bongos,106,Naxda Nomads,119
,Czalliso Pythons,107,Kaeshar Kaisers,124
,Dvimne Spirits,118,Blanaxon Hammers,114
,Holy Yektonisa Bishops,116,Barsein Bats,121
,Holykol Bears,112,Autolik Autonomy,103
,Lyintaria Lynx,94,Solea Geysers,116
,Pyxanovia Pixies,115,Sagua Ocelots,116
,Transhimalia Disasters,99,Manwx Saguans,119
,Auspikitan Golden Falcons,126,Key to Don Yees,116
,Calto Cows,117,Height Sagua Cats,97
Game 45,Home,Score,Away,Score
,Stedro Boulders,110,Aahrus Moosi,116
,TND Tanks,128,Faehrenfall Feathercats,134
,Bongatar Banging Bongos,124,Ethanthova Ponies,120
,Czalliso Pythons,107,Dotruga Falno,113
,Dvimne Spirits,125,Boltway Bad Dragons,119
,Holy Yektonisa Bishops,128,Avura Aviators,127
,Holykol Bears,115,Aiyota Pumps,126
,Lyintaria Lynx,103,Shmupland Dictators,100
,Pyxanovia Pixies,104,Serkr Atolls,115
,Transhimalia Disasters,131,Red Rainbow Sickles,116
,Auspikitan Golden Falcons,103,Naxda Nomads,117
,Calto Cows,128,Kaeshar Kaisers,100
,Height Sagua Cats,115,Blanaxon Hammers,114
,Key to Don Yees,108,Barsein Bats,111
,Manwx Saguans,115,Autolik Autonomy,99
,Sagua Ocelots,132,Solea Geysers,130
Game 46,Home,Score,Away,Score
,Czalliso Pythons,116,Aahrus Moosi,146
,Bongatar Banging Bongos,139,Dvimne Spirits,113
,TND Tanks,107,Holy Yektonisa Bishops,123
,Stedro Boulders,115,Holykol Bears,108
,Faehrenfall Feathercats,100,Lyintaria Lynx,114
,Ethanthova Ponies,111,Pyxanovia Pixies,109
,Dotruga Falno,122,Transhimalia Disasters,128
,Boltway Bad Dragons,120,Auspikitan Golden Falcons,119
,Avura Aviators,122,Calto Cows,128
,Aiyota Pumps,117,Height Sagua Cats,109
,Shmupland Dictators,121,Key to Don Yees,113
,Serkr Atolls,117,Manwx Saguans,124
,Red Rainbow Sickles,123,Sagua Ocelots,120
,Naxda Nomads,119,Solea Geysers,118
,Kaeshar Kaisers,125,Autolik Autonomy,124
,Blanaxon Hammers,104,Barsein Bats,120
Game 47,Home,Score,Away,Score
,Blanaxon Hammers,101,Aahrus Moosi,112
,Kaeshar Kaisers,102,Barsein Bats,105
,Naxda Nomads,107,Autolik Autonomy,128
,Red Rainbow Sickles,126,Solea Geysers,114
,Serkr Atolls,116,Sagua Ocelots,129
,Shmupland Dictators,106,Manwx Saguans,114
,Aiyota Pumps,139,Key to Don Yees,115
,Avura Aviators,115,Height Sagua Cats,124
,Boltway Bad Dragons,108,Calto Cows,130
,Dotruga Falno,134,Auspikitan Golden Falcons,123
,Ethanthova Ponies,113,Transhimalia Disasters,107
,Faehrenfall Feathercats,129,Pyxanovia Pixies,131
,Stedro Boulders,109,Lyintaria Lynx,113
,TND Tanks,122,Holykol Bears,129
,Bongatar Banging Bongos,120,Holy Yektonisa Bishops,112
,Czalliso Pythons,118,Dvimne Spirits,123
Game 48,Home,Score,Away,Score
,Aahrus Moosi,117,Avura Aviators,100
,Boltway Bad Dragons,127,Aiyota Pumps,117
,Dotruga Falno,126,Shmupland Dictators,113
,Ethanthova Ponies,133,Serkr Atolls,138
,Faehrenfall Feathercats,119,Red Rainbow Sickles,130
,Stedro Boulders,129,Naxda Nomads,116
,TND Tanks,110,Kaeshar Kaisers,113
,Bongatar Banging Bongos,120,Blanaxon Hammers,114
,Czalliso Pythons,122,Barsein Bats,107
,Dvimne Spirits,123,Autolik Autonomy,96
,Holy Yektonisa Bishops,118,Solea Geysers,117
,Holykol Bears,112,Sagua Ocelots,128
,Lyintaria Lynx,115,Manwx Saguans,110
,Pyxanovia Pixies,110,Key to Don Yees,117
,Transhimalia Disasters,138,Height Sagua Cats,112
,Auspikitan Golden Falcons,113,Calto Cows,123
Game 49,Home,Score,Away,Score
,Aahrus Moosi,109,Faehrenfall Feathercats,122
,Stedro Boulders,115,Ethanthova Ponies,123
,TND Tanks,124,Dotruga Falno,127
,Bongatar Banging Bongos,125,Boltway Bad Dragons,118
,Czalliso Pythons,128,Avura Aviators,109
,Dvimne Spirits,146,Aiyota Pumps,135
,Holy Yektonisa Bishops,128,Shmupland Dictators,116
,Holykol Bears,132,Serkr Atolls,116
,Lyintaria Lynx,106,Red Rainbow Sickles,125
,Pyxanovia Pixies,124,Naxda Nomads,127
,Transhimalia Disasters,110,Kaeshar Kaisers,141
,Auspikitan Golden Falcons,128,Blanaxon Hammers,123
,Calto Cows,124,Barsein Bats,110
,Height Sagua Cats,132,Autolik Autonomy,121
,Key to Don Yees,121,Solea Geysers,124
,Manwx Saguans,131,Sagua Ocelots,132
Game 50,Home,Score,Away,Score
,Lyintaria Lynx,131,Transhimalia Disasters,124
,Holykol Bears,126,Pyxanovia Pixies,131
,Holy Yektonisa Bishops,114,Aiyota Pumps,127
,Dvimne Spirits,120,Avura Aviators,109
,Czalliso Pythons,120,Boltway Bad Dragons,123
,Bongatar Banging Bongos,144,Dotruga Falno,146
,TND Tanks,105,Ethanthova Ponies,118
,Stedro Boulders,118,Faehrenfall Feathercats,140
,Calto Cows,101,Aahrus Moosi,112
,Height Sagua Cats,106,Auspikitan Golden Falcons,119
,Key to Don Yees,128,Shmupland Dictators,115
,Manwx Saguans,121,Serkr Atolls,103
,Sagua Ocelots,125,Red Rainbow Sickles,115
,Solea Geysers,106,Naxda Nomads,105
,Autolik Autonomy,124,Kaeshar Kaisers,130
,Barsein Bats,126,Blanaxon Hammers,130
Game 51,Home,Score,Away,Score
,Aahrus Moosi,109,Key to Don Yees,113
,Height Sagua Cats,117,Manwx Saguans,124
,Calto Cows,112,Sagua Ocelots,103
,Auspikitan Golden Falcons,103,Solea Geysers,115
,Transhimalia Disasters,121,Autolik Autonomy,114
,Pyxanovia Pixies,101,Barsein Bats,108
,Lyintaria Lynx,117,Blanaxon Hammers,121
,Holykol Bears,128,Kaeshar Kaisers,117
,Holy Yektonisa Bishops,126,Naxda Nomads,122
,Dvimne Spirits,143,Red Rainbow Sickles,110
,Czalliso Pythons,113,Serkr Atolls,124
,Bongatar Banging Bongos,137,Shmupland Dictators,122
,TND Tanks,136,Aiyota Pumps,130
,Stedro Boulders,118,Avura Aviators,105
,Faehrenfall Feathercats,108,Boltway Bad Dragons,120
,Ethanthova Ponies,123,Dotruga Falno,112
Game 52,Home,Score,Away,Score
,Aahrus Moosi,129,Holykol Bears,131
,Holy Yektonisa Bishops,112,Lyintaria Lynx,136
,Dvimne Spirits,129,Pyxanovia Pixies,120
,Czalliso Pythons,129,Transhimalia Disasters,131
,Bongatar Banging Bongos,136,Auspikitan Golden Falcons,124
,TND Tanks,89,Calto Cows,95
,Stedro Boulders,134,Height Sagua Cats,133
,Faehrenfall Feathercats,102,Key to Don Yees,101
,Ethanthova Ponies,121,Manwx Saguans,112
,Dotruga Falno,121,Sagua Ocelots,127
,Boltway Bad Dragons,124,Solea Geysers,116
,Avura Aviators,109,Autolik Autonomy,117
,Aiyota Pumps,114,Barsein Bats,127
,Shmupland Dictators,116,Blanaxon Hammers,111
,Serkr Atolls,135,Kaeshar Kaisers,132
,Red Rainbow Sickles,133,Naxda Nomads,131
Game 53,Home,Score,Away,Score
,Aahrus Moosi,117,Bongatar Banging Bongos,130
,TND Tanks,106,Czalliso Pythons,117
,Stedro Boulders,134,Dvimne Spirits,149
,Faehrenfall Feathercats,116,Holy Yektonisa Bishops,135
,Ethanthova Ponies,113,Holykol Bears,118
,Dotruga Falno,117,Lyintaria Lynx,99
,Boltway Bad Dragons,121,Pyxanovia Pixies,130
,Avura Aviators,115,Transhimalia Disasters,120
,Aiyota Pumps,121,Auspikitan Golden Falcons,132
,Shmupland Dictators,126,Calto Cows,130
,Serkr Atolls,126,Height Sagua Cats,127
,Red Rainbow Sickles,120,Key to Don Yees,122
,Naxda Nomads,129,Manwx Saguans,126
,Kaeshar Kaisers,130,Sagua Ocelots,120
,Blanaxon Hammers,115,Solea Geysers,120
,Barsein Bats,115,Autolik Autonomy,124
Game 54,Home,Score,Away,Score
,Calto Cows,121,Aahrus Moosi,117
,Height Sagua Cats,109,Auspikitan Golden Falcons,100
,Key to Don Yees,129,Solea Geysers,121
,Manwx Saguans,110,Sagua Ocelots,108
,Blanaxon Hammers,129,Autolik Autonomy,116
,Kaeshar Kaisers,119,Barsein Bats,102
,Naxda Nomads,98,Shmupland Dictators,109
,Red Rainbow Sickles,94,Serkr Atolls,106
,Lyintaria Lynx,102,Transhimalia Disasters,121
,Holykol Bears,120,Pyxanovia Pixies,127
,Holy Yektonisa Bishops,119,Bongatar Banging Bongos,137
,Dvimne Spirits,117,Czalliso Pythons,113
,Faehrenfall Feathercats,138,TND Tanks,129
,Ethanthova Ponies,142,Stedro Boulders,110
,Dotruga Falno,125,Aiyota Pumps,115
,Boltway Bad Dragons,135,Avura Aviators,126
Game 55,Home,Score,Away,Score
,Aahrus Moosi,127,Autolik Autonomy,123
,Solea Geysers,107,Barsein Bats,122
,Sagua Ocelots,125,Blanaxon Hammers,105
,Manwx Saguans,118,Kaeshar Kaisers,122
,Key to Don Yees,128,Naxda Nomads,112
,Height Sagua Cats,112,Red Rainbow Sickles,95
,Calto Cows,122,Serkr Atolls,127
,Auspikitan Golden Falcons,116,Shmupland Dictators,126
,Transhimalia Disasters,118,Aiyota Pumps,124
,Pyxanovia Pixies,121,Avura Aviators,106
,Lyintaria Lynx,124,Boltway Bad Dragons,115
,Holykol Bears,137,Dotruga Falno,139
,Holy Yektonisa Bishops,118,Ethanthova Ponies,122
,Dvimne Spirits,125,Faehrenfall Feathercats,112
,Czalliso Pythons,115,Stedro Boulders,112
,Bongatar Banging Bongos,119,TND Tanks,121
Game 56,Home,Score,Away,Score
,Aahrus Moosi,144,Kaeshar Kaisers,113
,Naxda Nomads,114,Blanaxon Hammers,117
,Red Rainbow Sickles,127,Barsein Bats,128
,Serkr Atolls,105,Autolik Autonomy,109
,Shmupland Dictators,116,Solea Geysers,119
,Aiyota Pumps,110,Sagua Ocelots,121
,Avura Aviators,114,Manwx Saguans,116
,Boltway Bad Dragons,135,Key to Don Yees,132
,Dotruga Falno,125,Height Sagua Cats,118
,Ethanthova Ponies,133,Calto Cows,121
,Faehrenfall Feathercats,122,Auspikitan Golden Falcons,120
,Stedro Boulders,130,Transhimalia Disasters,122
,TND Tanks,124,Pyxanovia Pixies,151
,Bongatar Banging Bongos,117,Lyintaria Lynx,120
,Czalliso Pythons,117,Holykol Bears,129
,Dvimne Spirits,123,Holy Yektonisa Bishops,107
Game 57,Home,Score,Away,Score
,Transhimalia Disasters,125,Ethanthova Ponies,126
,Dotruga Falno,125,Faehrenfall Feathercats,129
,Boltway Bad Dragons,113,Stedro Boulders,123
,Avura Aviators,128,TND Tanks,101
,Aiyota Pumps,127,Bongatar Banging Bongos,117
,Pyxanovia Pixies,127,Czalliso Pythons,106
,Lyintaria Lynx,107,Dvimne Spirits,122
,Holykol Bears,136,Holy Yektonisa Bishops,121
,Aahrus Moosi,114,Kaeshar Kaisers,135
,Naxda Nomads,130,Blanaxon Hammers,140
,Red Rainbow Sickles,100,Barsein Bats,122
,Serkr Atolls,125,Autolik Autonomy,119
,Shmupland Dictators,104,Solea Geysers,128
,Auspikitan Golden Falcons,123,Sagua Ocelots,117
,Calto Cows,134,Manwx Saguans,110
,Height Sagua Cats,101,Key to Don Yees,103
Game 58,Home,Score,Away,Score
,Aahrus Moosi,130,Red Rainbow Sickles,123
,Serkr Atolls,134,Naxda Nomads,129
,Shmupland Dictators,125,Kaeshar Kaisers,117
,Aiyota Pumps,113,Blanaxon Hammers,121
,Avura Aviators,113,Barsein Bats,102
,Boltway Bad Dragons,128,Autolik Autonomy,116
,Dotruga Falno,113,Solea Geysers,122
,Ethanthova Ponies,111,Sagua Ocelots,117
,Faehrenfall Feathercats,111,Manwx Saguans,117
,Stedro Boulders,98,Key to Don Yees,99
,TND Tanks,130,Height Sagua Cats,144
,Bongatar Banging Bongos,119,Calto Cows,116
,Czalliso Pythons,109,Auspikitan Golden Falcons,127
,Dvimne Spirits,106,Transhimalia Disasters,111
,Holy Yektonisa Bishops,134,Pyxanovia Pixies,124
,Holykol Bears,106,Lyintaria Lynx,103
Game 59,Home,Score,Away,Score
,Avura Aviators,115,Aahrus Moosi,138
,Aiyota Pumps,124,Boltway Bad Dragons,117
,Shmupland Dictators,96,Dotruga Falno,110
,Serkr Atolls,114,Ethanthova Ponies,124
,Red Rainbow Sickles,125,Faehrenfall Feathercats,129
,Naxda Nomads,117,Stedro Boulders,132
,Kaeshar Kaisers,118,TND Tanks,131
,Blanaxon Hammers,97,Bongatar Banging Bongos,107
,Barsein Bats,113,Czalliso Pythons,112
,Autolik Autonomy,117,Dvimne Spirits,127
,Solea Geysers,122,Holy Yektonisa Bishops,140
,Sagua Ocelots,114,Holykol Bears,99
,Manwx Saguans,136,Lyintaria Lynx,153
,Key to Don Yees,123,Pyxanovia Pixies,142
,Height Sagua Cats,123,Transhimalia Disasters,111
,Calto Cows,136,Auspikitan Golden Falcons,135
Game 60,Home,Score,Away,Score
,Aahrus Moosi,134,Czalliso Pythons,137
,Dvimne Spirits,117,Bongatar Banging Bongos,107
,Holy Yektonisa Bishops,120,TND Tanks,117
,Holykol Bears,130,Stedro Boulders,132
,Lyintaria Lynx,111,Faehrenfall Feathercats,113
,Pyxanovia Pixies,110,Ethanthova Ponies,124
,Transhimalia Disasters,111,Dotruga Falno,123
,Auspikitan Golden Falcons,122,Boltway Bad Dragons,114
,Calto Cows,122,Avura Aviators,124
,Height Sagua Cats,117,Aiyota Pumps,127
,Key to Don Yees,121,Shmupland Dictators,105
,Manwx Saguans,119,Serkr Atolls,113
,Sagua Ocelots,129,Red Rainbow Sickles,118
,Solea Geysers,122,Naxda Nomads,123
,Autolik Autonomy,131,Kaeshar Kaisers,129
,Barsein Bats,111,Blanaxon Hammers,123
Game 61,Home,Score,Away,Score
,Transhimalia Disasters,131,Boltway Bad Dragons,132
,Avura Aviators,134,Dotruga Falno,123
,Aiyota Pumps,128,Ethanthova Ponies,114
,Pyxanovia Pixies,113,Faehrenfall Feathercats,127
,Lyintaria Lynx,100,Stedro Boulders,115
,Holykol Bears,107,TND Tanks,104
,Holy Yektonisa Bishops,135,Bongatar Banging Bongos,120
,Dvimne Spirits,120,Czalliso Pythons,113
,Aahrus Moosi,108,Red Rainbow Sickles,129
,Serkr Atolls,133,Naxda Nomads,114
,Shmupland Dictators,106,Kaeshar Kaisers,108
,Auspikitan Golden Falcons,134,Blanaxon Hammers,128
,Calto Cows,135,Barsein Bats,106
,Height Sagua Cats,114,Autolik Autonomy,111
,Key to Don Yees,120,Solea Geysers,115
,Manwx Saguans,116,Sagua Ocelots,123
Game 62,Home,Score,Away,Score
,Lyintaria Lynx,144,Aahrus Moosi,133
,Holykol Bears,124,Pyxanovia Pixies,121
,Holy Yektonisa Bishops,111,Transhimalia Disasters,123
,Dvimne Spirits,109,Auspikitan Golden Falcons,96
,Czalliso Pythons,104,Calto Cows,121
,Bongatar Banging Bongos,119,Height Sagua Cats,117
,TND Tanks,112,Key to Don Yees,123
,Stedro Boulders,123,Manwx Saguans,119
,Faehrenfall Feathercats,108,Sagua Ocelots,109
,Ethanthova Ponies,150,Solea Geysers,130
,Dotruga Falno,113,Autolik Autonomy,120
,Boltway Bad Dragons,119,Barsein Bats,111
,Avura Aviators,112,Blanaxon Hammers,136
,Aiyota Pumps,117,Kaeshar Kaisers,102
,Shmupland Dictators,124,Naxda Nomads,114
,Serkr Atolls,126,Red Rainbow Sickles,116
Game 63,Home,Score,Away,Score
,Key to Don Yees,117,Aahrus Moosi,107
,Manwx Saguans,131,Height Sagua Cats,133
,Sagua Ocelots,119,Calto Cows,113
,Solea Geysers,128,Auspikitan Golden Falcons,133
,Naxda Nomads,101,Autolik Autonomy,96
,Red Rainbow Sickles,92,Kaeshar Kaisers,94
,Serkr Atolls,119,Blanaxon Hammers,135
,Shmupland Dictators,88,Barsein Bats,119
,Holy Yektonisa Bishops,116,Transhimalia Disasters,114
,Dvimne Spirits,131,Holykol Bears,106
,Czalliso Pythons,113,Lyintaria Lynx,116
,Bongatar Banging Bongos,127,Pyxanovia Pixies,111
,Dotruga Falno,135,TND Tanks,117
,Boltway Bad Dragons,138,Ethanthova Ponies,125
,Avura Aviators,135,Faehrenfall Feathercats,151
,Aiyota Pumps,117,Stedro Boulders,107
Game 64,Home,Score,Away,Score
,Manwx Saguans,143,Aahrus Moosi,144
,Key to Don Yees,123,Sagua Ocelots,126
,Height Sagua Cats,116,Solea Geysers,135
,Calto Cows,118,Autolik Autonomy,124
,Auspikitan Golden Falcons,121,Barsein Bats,126
,Transhimalia Disasters,138,Blanaxon Hammers,119
,Pyxanovia Pixies,114,Kaeshar Kaisers,121
,Lyintaria Lynx,118,Naxda Nomads,110
,Holykol Bears,132,Red Rainbow Sickles,123
,Holy Yektonisa Bishops,140,Serkr Atolls,131
,Dvimne Spirits,119,Shmupland Dictators,112
,Czalliso Pythons,107,Aiyota Pumps,133
,Bongatar Banging Bongos,133,Avura Aviators,125
,TND Tanks,111,Boltway Bad Dragons,128
,Stedro Boulders,102,Dotruga Falno,121
,Faehrenfall Feathercats,115,Ethanthova Ponies,121
Game 65,Home,Score,Away,Score
,Calto Cows,139,Aahrus Moosi,128
,Height Sagua Cats,119,Auspikitan Golden Falcons,109
,Key to Don Yees,115,Transhimalia Disasters,101
,Manwx Saguans,112,Pyxanovia Pixies,109
,Sagua Ocelots,124,Lyintaria Lynx,114
,Solea Geysers,121,Holykol Bears,125
,Autolik Autonomy,106,Holy Yektonisa Bishops,99
,Barsein Bats,104,Dvimne Spirits,128
,Blanaxon Hammers,119,Czalliso Pythons,120
,Kaeshar Kaisers,117,Bongatar Banging Bongos,123
,Naxda Nomads,118,TND Tanks,119
,Red Rainbow Sickles,106,Stedro Boulders,123
,Serkr Atolls,100,Faehrenfall Feathercats,117
,Shmupland Dictators,94,Ethanthova Ponies,118
,Aiyota Pumps,129,Dotruga Falno,103
,Avura Aviators,119,Boltway Bad Dragons,123
Game 66,Home,Score,Away,Score
,Faehrenfall Feathercats,135,Aahrus Moosi,116
,Ethanthova Ponies,130,Stedro Boulders,123
,Dotruga Falno,130,TND Tanks,116
,Boltway Bad Dragons,139,Bongatar Banging Bongos,131
,Avura Aviators,117,Czalliso Pythons,118
,Aiyota Pumps,131,Dvimne Spirits,121
,Shmupland Dictators,120,Holy Yektonisa Bishops,125
,Serkr Atolls,132,Holykol Bears,116
,Red Rainbow Sickles,115,Lyintaria Lynx,119
,Naxda Nomads,115,Pyxanovia Pixies,121
,Kaeshar Kaisers,111,Transhimalia Disasters,121
,Blanaxon Hammers,116,Auspikitan Golden Falcons,124
,Barsein Bats,127,Calto Cows,116
,Autolik Autonomy,107,Height Sagua Cats,98
,Solea Geysers,118,Key to Don Yees,112
,Sagua Ocelots,113,Manwx Saguans,107
Game 67,Home,Score,Away,Score
,Aahrus Moosi,108,Serkr Atolls,105
